Rank_QS,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_Score,Academic Reputation  RANK,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Ratio_Score,Faculty_Student_Ratio_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International Faculty  SCORE,International Faculty  RANK,International_Student_Score,International student  RANK,International_Students_Diversity_Score,International_Students_Diversity_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,QS_Overall_Score,Rank_THE,Country,Student_Population,Students_to_Staff_Ratio,International_Students,Female_to_Male_Ratio,THE_Overall_Score,Teaching,Research_Environment,Research_Quality,Industry_Impact,International_Outlook,Year,Country,QS_Rank_Normalized,THE_Rank_Normalized
173,176,McMaster University,Canada,Americas,L,FC,VH,Public,52.5,211,43.6,307,61.8,289,56.6,311,94.6,184,66.3,302.0,69.6,273.0,84.3,270.0,60.0,271,86.6,93=,59.1,116.0,Canada,28647.0,28.8,0.23,"2 days, 9:43:00",65.0209999999999,42.2,49.3,93.1,100.0,84.6,2026.0,Canada,173.0,116.0
176,210,National Tsing Hua University,Taiwan,Asia,M,CO,VH,Public,67.0,148,77.1,116,34.2,574,73.5,187,26.7,630,37.3,522.0,40.4,501.0,42.1,801.0,25.4,633,57.8,546=,59,408.0,Taiwan,14807.0,22.9,0.14,"1 day, 18:58:00",49.5619999999999,37.5,43.5,61.4,99.8,46.3,2026.0,Taiwan,176.0,408.0
181,186,Cardiff University,United Kingdom,Europe,L,FC,VH,Public,60.1,175,54.4,223,48.2,403,42.2,451,87.2,243,70.1,278.0,73.0,248.0,93.4,120.0,33.5,502,88.9,71=,57.8,232.0,United Kingdom,27880.0,13.7,0.24,"2 days, 11:41:00",57.1715,35.9,39.1,86.0,70.3,88.4,2026.0,United Kingdom,181.0,232.0
183,174,Curtin University,Australia,Oceania,L,CO,VH,Public,46.3,254,39.3,348,17.7,801,89.6,104,100.0,57,54.3,382.0,58.7,348.0,94.2,96.0,37.9,459,82.0,149=,57.6,285.0,Australia,29539.0,19.9,0.35,"2 days, 4:48:00",54.924,28.5,34.2,87.5,80.4,95.1,2026.0,Australia,183.0,285.0
184,161,University of Bern,Switzerland,Europe,M,FC,VH,Public,38.0,313,26.0,520,49.0,394,99.3,32,100.0,58,52.9,389.0,57.4,356.0,95.5,69.0,37.2,466,68.9,331=,57.5,109.0,Switzerland,11959.0,17.4,0.18,"2 days, 11:41:00",65.4255,46.6,47.0,92.0,99.4,86.3,2026.0,Switzerland,184.0,109.0
184,167,University of Wollongong,Australia,Oceania,L,FC,VH,Public,41.6,287,33.1,434,21.1,801,95.6,66,99.5,113,82.2,211.0,83.8,179.0,88.6,197.0,25.8,626,86.1,98=,57.5,236.0,Australia,16470.0,24.1,0.32,"2 days, 6:46:00",56.9495,34.3,36.6,85.4,89.8,93.4,2026.0,Australia,184.0,236.0
194,172,University of Reading,United Kingdom,Europe,L,CO,VH,Public,45.7,256,46.8,280,20.2,801,63.0,260,95.0,178,85.8,192.0,87.0,162.0,93.3,121.0,57.6,287,92.4,42=,56.2,201.0,United Kingdom,15970.0,15.8,0.31,"2 days, 6:46:00",58.6515,41.7,38.1,85.2,66.9,94.2,2026.0,United Kingdom,194.0,201.0
194,221,Vrije Universiteit Amsterdam,Netherlands,Europe,L,FC,VH,Public,53.3,208,28.8,489,23.3,767,80.7,154,82.9,272,57.6,358.0,42.9,484.0,90.1,173.0,56.4,296,68.8,338,56.2,179.0,Netherlands,31949.0,15.8,0.2,"2 days, 9:43:00",60.2059999999999,37.7,41.8,91.8,77.5,84.3,2026.0,Netherlands,194.0,179.0
196,181,Waseda University,Japan,Asia,XL,CO,VH,Private not for Profit,73.6,118,97.2,37,29.5,639,7.3,801,35.2,535,43.7,461.0,48.9,426.0,63.1,650.0,90.7,98,74.3,252,56.1,878.0,Japan,44876.0,14.2,0.12,39 : 61,37.5985,34.0,26.9,43.5,68.0,53.3,2026.0,Japan,196.0,878.0
197,214,University of Otago,New Zealand,Oceania,L,FC,VH,Public,60.0,176,36.0,399,14.8,801,63.2,258,100.0,53,39.6,496.0,45.0,464.0,76.5,413.0,68.7,222,88.2,78=,55.8,377.0,New Zealand,18703.0,19.9,0.18,"2 days, 12:40:00",50.5809999999999,34.1,34.3,72.4,69.3,81.1,2026.0,New Zealand,197.0,377.0
202,194,University of Gothenburg,Sweden,Europe,L,FC,VH,Public,46.4,252,24.6,546,73.0,211,45.4,408,94.1,190,85.8,191.0,87.1,161.0,93.7,104.0,71.0,205,92.9,36=,55.5,212.0,Sweden,20756.0,10.9,0.13,,57.9785,34.8,43.2,91.1,78.8,62.7,2026.0,Sweden,202.0,212.0
203,215,National Cheng Kung University (NCKU),Taiwan,Asia,L,FC,VH,Public,66.4,150,79.4,106,33.8,578,39.8,471,28.6,600,24.4,670.0,30.5,610.0,58.0,718.0,56.3,297,79.7,175=,55.2,532.0,Taiwan,21726.0,19.9,0.11,38 : 62,45.6269999999999,36.9,41.3,52.0,99.8,42.3,2026.0,Taiwan,203.0,532.0
203,233,University of Twente,Netherlands,Europe,M,CO,VH,Public,29.3,422,40.5,333,56.0,333,77.0,169,100.0,93,95.2,124.0,70.8,264.0,85.4,248.0,32.6,519,79.6,179,55.2,191.0,Netherlands,8204.0,9.5,0.43,37 : 63,59.3175,45.7,45.0,73.0,98.9,92.4,2026.0,Netherlands,203.0,191.0
207,197,Deakin University,Australia,Oceania,XL,FC,VH,Public,42.3,281,32.6,440,5.9,801,86.2,116,97.2,148,83.3,202.0,84.8,172.0,86.8,222.0,43.6,406,86.7,91=,54.9,210.0,Australia,37191.0,33.3,0.25,"2 days, 10:42:00",57.9975,31.6,38.4,91.7,86.3,87.7,2026.0,Australia,207.0,210.0
211,198,University of Calgary,Canada,Americas,XL,FC,VH,Public,47.6,245,50.5,249,24.4,746,54.6,332,87.4,239,76.9,243.0,79.1,216.0,86.2,233.0,61.5,255,86.0,100,54.7,202.0,Canada,35954.0,20.3,0.26,"2 days, 5:47:00",58.6335,37.8,43.1,83.6,91.4,83.3,2026.0,Canada,211.0,202.0
212,224,University of Lausanne,Switzerland,Europe,L,FO,VH,Public,37.0,322,40.2,340,49.0,393,69.0,223,100.0,97,67.0,296.0,49.9,415.0,83.5,286.0,61.1,264,70.3,313=,54.6,125.0,Switzerland,14241.0,9.8,0.23,,63.7435,44.3,46.1,89.0,99.4,88.4,2026.0,Switzerland,212.0,125.0
215,188,Keio University,Japan,Asia,XL,FC,VH,Private not for Profit,65.5,153,93.8,57,65.2,268,9.4,801,15.2,801,19.6,735.0,25.8,674.0,55.6,759.0,95.8,71,68.9,331=,54.5,761.0,Japan,34336.0,10.2,0.1,37 : 63,39.875,37.0,28.3,49.1,73.7,41.0,2026.0,Japan,215.0,761.0
219,189,University of Ottawa,Canada,Americas,XL,FC,VH,Public,35.8,339,38.7,361,5.4,801,84.8,125,96.1,165,85.5,193.0,86.8,163.0,92.3,141.0,50.0,342,86.8,90,54.2,188.0,Canada,40753.0,28.7,0.29,"2 days, 10:42:00",59.527,38.2,44.5,85.4,81.7,86.2,2026.0,Canada,219.0,188.0
221,229,Chulalongkorn University,Thailand,Asia,XL,FC,VH,Public,82.0,89,52.7,233,44.8,439,12.5,801,32.0,564,6.2,801.0,11.0,801.0,80.6,342.0,96.4,64,80.0,169=,53.9,579.0,Thailand,34173.0,12.0,0.04,"2 days, 7:45:00",44.3495,39.5,31.3,56.1,82.0,46.8,2026.0,Thailand,221.0,579.0
223,209,Tel Aviv University,Israel,Asia,L,FC,VH,Public,43.6,269,31.0,462,6.1,801,99.7,25,48.9,444,15.3,801.0,21.3,743.0,78.3,378.0,94.2,79,77.0,214=,53.6,217.0,Israel,24379.0,22.7,0.07,"2 days, 9:43:00",57.835,41.8,50.1,79.9,75.0,53.4,2026.0,Israel,223.0,217.0
224,239,Universitas Gadjah Mada,Indonesia,Asia,XL,FC,VH,Public,70.2,134,84.7,93,65.4,265,3.0,801,63.0,370,8.9,801.0,14.6,801.0,46.3,801.0,75.9,177,66.0,381=,53.5,1228.0,Indonesia,40174.0,8.1,0.05,"2 days, 10:42:00",31.695,33.1,24.0,31.3,57.2,43.9,2026.0,Indonesia,224.0,1228.0
225,224,Loughborough University,United Kingdom,Europe,L,CO,VH,Public,42.8,277,64.5,165,26.9,699,50.6,371,94.6,183,71.1,269.0,73.9,242.0,81.4,324.0,33.2,509,87.9,80=,53.3,339.0,United Kingdom,18345.0,15.4,0.25,40 : 60,52.1499999999999,34.8,32.9,76.1,70.2,89.4,2026.0,United Kingdom,225.0,339.0
226,213,Queensland University of Technology,Australia,Oceania,XL,CO,VH,Public,51.6,215,38.8,356,11.6,801,70.9,211,96.6,158,44.8,451.0,49.9,416.0,83.4,287.0,25.6,629,88.5,73,53.2,210.0,Australia,33182.0,36.8,0.18,"2 days, 5:47:00",57.9975,33.0,40.4,89.6,88.1,81.9,2026.0,Australia,226.0,210.0
229,261,United Arab Emirates University,United Arab Emirates,Asia,M,FC,VH,Public,43.3,272,58.1,199,55.1,341,35.1,522,100.0,24,39.1,501.0,44.4,470.0,88.9,191.0,87.9,120,68.6,341,53,235.0,United Arab Emirates,9024.0,13.9,0.18,"3 days, 1:27:00",57.0629999999999,28.7,38.1,91.8,86.5,87.3,2026.0,United Arab Emirates,229.0,235.0
230,239,Massey University,New Zealand,Oceania,M,CO,VH,Public,42.1,284,24.1,558,57.3,319,50.5,373,99.4,120,98.9,71.0,98.9,62.0,82.2,308.0,60.7,265,83.7,129=,52.9,519.0,New Zealand,15413.0,16.5,0.3,"2 days, 16:36:00",45.7665,30.1,29.2,62.3,81.6,86.2,2026.0,New Zealand,230.0,519.0
230,260,University of Lisbon,Portugal,Europe,XL,FC,VH,Public,57.1,193,46.3,289,15.5,801,51.4,367,14.3,801,58.6,350.0,62.6,317.0,98.4,17.0,97.3,54,79.3,184,52.9,426.0,Portugal,50344.0,18.1,0.23,"2 days, 6:46:00",48.871,31.1,41.8,66.8,75.3,60.3,2026.0,Portugal,230.0,426.0
233,217,La Trobe University,Australia,Oceania,L,CO,VH,Public,33.4,365,29.0,488,13.2,801,87.8,110,95.6,173,97.4,97.0,97.5,85.0,82.1,310.0,28.0,594,82.2,146=,52.1,264.0,Australia,21509.0,31.2,0.37,,55.857,29.5,36.8,88.9,79.0,88.7,2026.0,Australia,233.0,264.0
237,278,University of Porto,Portugal,Europe,XL,FC,VH,Public,52.5,212,41.5,328,13.6,801,73.6,185,9.2,801,38.2,513.0,33.1,575.0,94.3,94.0,61.2,261,77.3,208=,51.6,415.0,Portugal,38127.0,17.5,0.19,"2 days, 7:45:00",49.2525,33.7,39.1,70.2,67.8,56.0,2026.0,Portugal,237.0,415.0
239,230,Maastricht University,Netherlands,Europe,L,FO,VH,Public,32.8,373,33.7,425,18.6,801,71.7,203,99.9,103,100.0,21.0,100.0,14.0,85.6,243.0,49.6,350,80.2,166=,51.4,131.0,Netherlands,21903.0,16.4,0.6,"2 days, 12:40:00",63.2565,41.4,46.1,88.3,98.3,96.7,2026.0,Netherlands,239.0,131.0
240,281,Hebrew University of Jerusalem,Israel,Asia,L,FC,VH,Public,42.9,276,36.4,394,74.6,201,41.9,452,81.9,279,33.5,551.0,38.8,509.0,74.2,460.0,97.1,57,65.5,387=,51.3,261.0,Israel,17488.0,16.2,0.03,"2 days, 10:42:00",55.982,48.1,47.2,72.6,77.3,43.1,2026.0,Israel,240.0,261.0
240,244,Victoria University of Wellington,New Zealand,Oceania,L,CO,VH,Public,57.2,192,32.2,445,15.7,801,44.3,424,100.0,96,56.7,367.0,60.9,332.0,70.1,530.0,77.6,168,83.3,132,51.3,434.0,New Zealand,15728.0,17.4,0.12,"2 days, 11:41:00",48.5209999999999,29.0,33.5,73.7,62.9,75.0,2026.0,New Zealand,240.0,434.0
246,273,University College Cork,Ireland,Europe,L,FC,VH,Public,43.4,270,48.1,269,22.5,782,52.7,357,86.2,253,75.0,255.0,77.4,224.0,68.8,551.0,49.5,351,83.8,127=,50.7,367.0,Ireland,19075.0,20.2,0.23,"2 days, 11:41:00",50.9105,29.3,33.2,78.7,77.6,79.0,2026.0,Ireland,246.0,367.0
251,281,University of Strathclyde,United Kingdom,Europe,L,CO,VH,Public,37.5,319,40.5,335,17.8,801,57.2,306,99.2,122,89.0,175.0,90.0,149.0,84.5,263.0,46.0,379,84.6,117=,50.2,362.0,United Kingdom,19085.0,14.3,0.28,"2 days, 4:48:00",51.0185,37.0,35.2,66.4,79.7,90.5,2026.0,United Kingdom,251.0,362.0
261,261,University of Canterbury,New Zealand,Oceania,L,CO,VH,Public,48.8,235,34.7,417,12.1,801,48.2,387,100.0,73,48.1,420.0,53.0,389.0,60.9,681.0,87.4,123,88.2,78=,49.4,632.0,New Zealand,14857.0,19.1,0.18,"2 days, 2:50:00",42.7575,26.6,28.3,59.9,64.4,82.1,2026.0,New Zealand,261.0,632.0
262,236,University of Aberdeen,United Kingdom,Europe,M,FC,VH,Public,40.1,299,34.8,413,44.9,437,42.9,442,95.8,168,87.2,185.0,88.3,155.0,89.7,176.0,30.0,549,87.8,83=,49.3,249.0,United Kingdom,11875.0,12.9,0.36,"2 days, 10:42:00",56.4059999999999,38.0,34.8,82.3,79.6,96.4,2026.0,United Kingdom,262.0,249.0
262,249,University of Navarra,Spain,Europe,L,FC,HI,Private not for Profit,40.8,290,78.2,111,50.6,375,25.3,631,26.8,629,84.0,200.0,85.4,171.0,58.3,714.0,80.5,156,66.1,376=,49.3,293.0,Spain,12748.0,15.3,0.3,"2 days, 8:44:00",54.641,37.2,34.1,81.9,90.7,74.4,2026.0,Spain,262.0,293.0
262,285,University of Surrey,United Kingdom,Europe,L,CO,VH,Public,29.7,411,30.0,475,33.4,583,74.4,182,98.0,139,88.7,181.0,89.7,152.0,86.6,227.0,30.7,539,60.4,499=,49.3,220.0,United Kingdom,14440.0,14.4,0.33,"2 days, 6:46:00",57.5984999999999,36.3,34.4,89.5,71.6,96.0,2026.0,United Kingdom,262.0,220.0
265,246,Charles University,Czechia,Europe,XL,FC,VH,Public,58.5,182,55.5,217,37.0,543,14.3,801,33.5,549,61.7,328.0,65.4,300.0,97.2,33.0,73.2,196,76.9,217,49,465.0,Czechia,53904.0,13.5,0.24,"2 days, 14:38:00",47.347,37.9,32.2,64.8,63.4,64.7,2026.0,Czechia,265.0,465.0
268,255,Griffith University,Australia,Oceania,L,FC,VH,Public,37.7,318,16.6,701,13.3,801,75.1,178,100.0,91,70.7,271.0,73.5,243.0,93.4,119.0,26.6,615,91.7,49=,48.7,291.0,Australia,30484.0,26.3,0.25,"2 days, 12:40:00",54.6964999999999,30.5,37.3,83.7,80.8,87.2,2026.0,Australia,268.0,291.0
271,258,University of Warsaw,Poland,Europe,XL,CO,VH,Public,61.0,168,62.8,175,59.5,304,10.0,801,13.5,801,15.7,801.0,21.8,733.0,85.9,238.0,74.4,186,74.0,259=,48.3,770.0,Poland,34878.0,11.0,0.1,"2 days, 12:40:00",39.6505,38.1,32.6,46.7,39.3,45.0,2026.0,Poland,271.0,770.0
276,285,University of Milan,Italy,Europe,XL,FC,VH,Public,65.9,152,27.0,507,10.2,801,56.6,313,10.8,801,13.4,801.0,19.4,772.0,85.1,252.0,63.1,246,76.4,219=,48,323.0,Italy,44429.0,17.4,0.07,"2 days, 12:40:00",53.1184999999999,38.9,32.5,86.1,71.2,47.2,2026.0,Italy,276.0,323.0
278,246,University of Sussex,United Kingdom,Europe,L,FC,VH,Public,33.8,360,21.0,624,21.4,801,60.7,283,99.0,129,89.5,172.0,90.4,146.0,86.3,232.0,53.6,314,90.0,63=,47.9,237.0,United Kingdom,18015.0,16.7,0.37,"2 days, 7:45:00",56.9304999999999,34.3,36.0,88.9,64.8,94.8,2026.0,United Kingdom,278.0,237.0
279,272,Radboud University Nijmegen,Netherlands,Europe,L,FC,VH,Public,38.6,310,20.3,648,34.8,566,73.2,189,83.5,266,30.1,589.0,36.0,534.0,92.5,136.0,34.9,492,67.7,353=,47.6,155.0,Netherlands,23615.0,16.1,0.13,"2 days, 10:42:00",61.537,38.5,49.7,89.3,82.1,75.9,2026.0,Netherlands,279.0,155.0
280,267,University of Antwerp,Belgium,Europe,L,FC,VH,Public,35.0,343,18.8,690,42.8,465,57.7,303,96.4,162,45.5,444.0,50.5,411.0,95.2,79.0,60.3,270,80.6,162,47.4,173.0,Belgium,16836.0,32.6,0.17,"2 days, 9:43:00",60.6475,38.9,44.3,89.6,98.5,73.4,2026.0,Belgium,280.0,173.0
281,235,University of Waikato,New Zealand,Oceania,M,CO,VH,Public,28.2,446,18.8,691,16.2,801,82.1,144,99.5,116,79.7,223.0,81.6,192.0,49.0,801.0,58.4,282,84.8,112=,47.3,461.0,New Zealand,10521.0,20.7,0.31,"2 days, 13:39:00",47.526,24.1,31.5,72.3,74.6,88.1,2026.0,New Zealand,281.0,461.0
283,275,Dalhousie University,Canada,Americas,L,FC,VH,Public,27.1,465,23.9,563,15.8,801,76.2,171,100.0,88,79.4,225.0,81.3,195.0,79.9,353.0,39.8,439,85.3,107=,47.2,354.0,Canada,17682.0,13.4,0.27,"2 days, 5:47:00",51.4795,33.1,33.2,75.4,74.3,86.6,2026.0,Canada,283.0,354.0
287,256,Heriot-Watt University,United Kingdom,Europe,M,CO,VH,Public,25.7,490,34.8,415,27.3,692,61.8,275,100.0,78,97.0,100.0,97.2,89.0,75.7,425.0,37.0,467,77.2,210=,46.8,501.0,United Kingdom,9705.0,15.4,0.44,39 : 61,46.2545,33.4,30.3,58.8,70.3,95.5,2026.0,United Kingdom,287.0,501.0
287,308,Universitas Airlangga,Indonesia,Asia,XL,FC,VH,Public,52.2,213,88.3,78,69.6,235,2.5,801,77.3,308,10.8,801.0,16.7,801.0,52.9,797.0,24.0,658,56.6,568=,46.8,1308.0,Indonesia,32097.0,7.2,0.08,"2 days, 18:34:00",30.2505,28.6,14.1,39.2,24.8,66.3,2026.0,Indonesia,287.0,1308.0
287,291,University of Bergen,Norway,Europe,L,FC,VH,Public,40.5,297,13.7,701,67.2,254,42.5,446,96.9,150,37.9,516.0,43.5,477.0,91.0,159.0,69.5,217,65.1,397,46.8,287.0,Norway,15304.0,13.0,0.13,"2 days, 14:38:00",54.9004999999999,35.3,36.4,84.1,75.4,75.8,2026.0,Norway,287.0,287.0
292,298,Swansea University,United Kingdom,Europe,L,FC,VH,Public,34.7,348,54.7,222,28.6,666,43.0,439,76.9,312,80.5,221.0,82.4,187.0,79.7,357.0,13.7,801,84.4,121,46.2,321.0,United Kingdom,18650.0,15.9,0.25,"2 days, 1:51:00",53.157,30.8,30.6,87.4,58.3,88.6,2026.0,United Kingdom,292.0,321.0
294,291,Swinburne University of Technology,Australia,Oceania,L,CO,VH,Public,18.8,655,19.3,675,14.7,801,95.0,68,87.8,237,94.7,130.0,70.5,266.0,74.0,467.0,22.8,675,73.4,267=,46,256.0,Australia,15725.0,28.4,0.41,"1 day, 19:57:00",56.158,33.0,33.6,91.4,78.1,81.8,2026.0,Australia,294.0,256.0
302,296,Stellenbosch University,South Africa,Africa,L,FC,VH,Public,36.7,331,44.8,299,5.0,801,67.5,233,25.4,642,14.5,801.0,11.0,801.0,93.6,111.0,88.9,114,61.0,480=,45.2,326.0,South Africa,25956.0,26.8,0.07,"2 days, 10:42:00",52.815,34.8,40.8,75.5,91.8,58.6,2026.0,South Africa,302.0,326.0
303,312,Jagiellonian University,Poland,Europe,XL,FO,VH,Public,49.9,226,54.4,224,75.3,193,10.4,801,8.0,801,30.0,591.0,35.9,536.0,88.6,198.0,61.5,256,71.6,296,45.1,606.0,Poland,32022.0,8.8,0.13,"2 days, 19:33:00",43.5905,43.8,33.6,51.1,54.2,45.7,2026.0,Poland,303.0,606.0
303,324,University of Southern Denmark,Denmark,Europe,L,CO,VH,Public,29.2,425,24.9,540,31.9,602,68.4,227,91.7,212,46.4,435.0,51.3,403.0,77.4,394.0,27.0,607,85.0,110=,45.1,281.0,Denmark,17548.0,9.5,0.15,"2 days, 6:46:00",55.207,30.4,36.0,87.3,98.1,75.8,2026.0,Denmark,303.0,281.0
306,306,Aalborg University,Denmark,Europe,L,FC,VH,Public,26.4,478,25.0,538,27.7,685,77.2,167,89.0,231,29.4,597.0,35.4,546.0,91.7,148.0,25.4,634,79.1,186,44.9,259.0,Denmark,16050.0,13.9,0.13,,56.063,33.6,44.9,80.6,88.0,72.4,2026.0,Denmark,306.0,259.0
308,319,Simon Fraser University,Canada,Americas,L,CO,VH,Public,34.9,345,20.7,636,7.6,801,59.6,289,99.1,127,86.1,189.0,87.3,158.0,78.4,376.0,34.0,500,85.2,109,44.7,335.0,Canada,26776.0,24.9,0.31,"2 days, 6:46:00",52.312,26.9,35.6,79.7,83.5,90.7,2026.0,Canada,308.0,335.0
308,312,University of Johannesburg,South Africa,Africa,L,CO,VH,Public,25.5,496,25.9,523,46.5,424,45.2,410,98.5,136,60.1,342.0,63.9,310.0,99.1,14.0,69.6,215,74.8,241=,44.7,388.0,South Africa,32659.0,26.5,0.14,"2 days, 8:44:00",50.2024999999999,29.5,38.4,69.9,81.1,82.0,2026.0,South Africa,308.0,388.0
314,293,University of Tasmania,Australia,Oceania,M,CO,VH,Public,22.5,556,12.2,701,34.3,572,72.8,192,87.1,244,91.7,152.0,92.3,129.0,80.4,348.0,25.0,640,84.0,124=,44.3,255.0,Australia,13316.0,17.1,0.31,"2 days, 10:42:00",56.1789999999999,34.3,36.9,84.5,82.8,89.3,2026.0,Australia,314.0,255.0
317,321,L.N. Gumilyov Eurasian National University,Kazakhstan,Asia,L,FO,VH,Public,40.1,300,85.8,86,94.7,78,2.0,801,84.6,262,25.8,649.0,27.2,650.0,31.4,801.0,7.5,801,46.6,801,43.9,1748.0,Kazakhstan,23205.0,18.3,0.04,"2 days, 1:51:00",23.3215,20.9,15.2,25.4,17.2,59.2,2026.0,Kazakhstan,317.0,1748.0
320,298,Bauman Moscow State Technical University,Russian Federation,Europe,L,CO,VH,Public,41.1,289,63.8,168,99.9,25,2.0,801,81.0,287,85.8,190.0,87.1,160.0,14.2,801.0,10.1,801,47.6,770=,43.5,340.0,Russian Federation,15623.0,6.9,0.2,"1 day, 21:55:00",52.136,68.4,42.8,43.0,54.4,59.6,2026.0,Russian Federation,320.0,340.0
326,285,University of Leicester,United Kingdom,Europe,L,FC,VH,Public,29.6,418,17.7,701,40.1,502,44.2,426,90.6,220,90.6,162.0,91.4,137.0,91.1,155.0,31.0,535,81.2,158=,42.9,193.0,United Kingdom,16435.0,14.5,0.37,"2 days, 5:47:00",59.204,35.4,34.9,95.9,69.0,94.8,2026.0,United Kingdom,326.0,193.0
328,328,University of Delhi,India,Asia,L,FO,VH,Public,46.9,248,41.9,319,6.9,801,47.1,403,1.8,801,2.8,801.0,7.5,801.0,83.0,294.0,98.9,30,71.2,297=,42.6,802.0,India,24204.0,20.2,0.02,"1 day, 23:53:00",39.0049999999999,42.9,29.7,45.8,53.6,24.7,2026.0,India,328.0,802.0
328,434,University of Sharjah,United Arab Emirates,Asia,L,CO,VH,Private not for Profit,28.5,440,34.9,411,9.3,801,52.2,362,100.0,15,100.0,40.0,100.0,28.0,84.8,259.0,19.3,740,58.8,525=,42.6,338.0,United Arab Emirates,12327.0,17.7,0.51,"2 days, 19:33:00",52.2429999999999,23.5,27.0,94.3,44.7,98.7,2026.0,United Arab Emirates,328.0,338.0
333,362,York University,Canada,Americas,XL,CO,VH,Public,33.4,366,31.7,451,5.0,801,37.8,493,87.3,242,78.9,227.0,80.9,197.0,73.5,482.0,82.2,149,84.5,119=,42.4,422.0,Canada,41456.0,27.4,0.28,"2 days, 6:46:00",49.0635,29.3,33.2,71.5,72.3,86.0,2026.0,Canada,333.0,422.0
334,362,Sultan Qaboos University,Oman,Asia,M,FC,VH,Public,28.9,430,25.9,522,62.3,284,39.5,478,100.0,81,6.0,801.0,9.9,801.0,80.9,333.0,70.0,209,69.6,320,42.3,577.0,Oman,7375.0,8.3,0.04,"2 days, 2:50:00",44.45,30.9,24.6,70.1,40.7,73.9,2026.0,Oman,334.0,577.0
342,344,University of Oulu,Finland,Europe,M,FC,VH,Public,23.0,546,21.8,607,29.5,640,74.5,181,80.9,289,19.7,733.0,25.8,672.0,87.9,203.0,30.6,541,75.2,232=,42,272.0,Finland,11334.0,22.0,0.1,"2 days, 8:44:00",55.6275,36.7,39.5,85.8,70.9,63.6,2026.0,Finland,342.0,272.0
343,382,University of Pisa,Italy,Europe,L,FC,VH,Public,51.6,216,26.3,517,12.8,801,59.6,290,5.0,801,10.5,801.0,16.3,801.0,84.6,262.0,25.1,639,72.8,278,41.8,394.0,Italy,29834.0,17.2,0.07,"2 days, 4:48:00",50.0295,36.3,34.7,77.7,67.7,43.2,2026.0,Italy,343.0,394.0
345,392,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Asia,M,FO,VH,Public,36.7,330,48.6,266,50.6,374,46.8,405,31.3,571,35.3,538.0,38.9,508.0,45.6,801.0,25.4,632,56.8,560=,41.7,463.0,Taiwan,9244.0,19.0,0.16,30 : 70,47.4329999999999,33.2,38.3,62.9,97.8,50.0,2026.0,Taiwan,345.0,463.0
347,350,Cairo University,Egypt,Africa,XL,FC,VH,Public,60.8,170,52.7,232,13.8,801,6.0,801,4.2,801,14.4,801.0,10.9,801.0,88.9,190.0,98.0,43,66.6,368=,41.6,846.0,Egypt,173478.0,24.6,0.07,"2 days, 12:40:00",38.036,29.4,20.0,60.7,42.7,48.6,2026.0,Egypt,347.0,846.0
347,347,Tilburg University,Netherlands,Europe,L,SP,VH,Public,20.5,602,37.1,382,16.8,801,67.1,236,99.0,128,77.4,238.0,79.5,209.0,61.1,678.0,23.1,669,50.6,693=,41.6,330.0,Netherlands,12796.0,19.9,0.24,"2 days, 5:47:00",52.7114999999999,29.1,42.9,73.8,78.9,85.2,2026.0,Netherlands,347.0,330.0
347,355,University of Coimbra,Portugal,Europe,L,FC,VH,Public,39.2,307,24.9,542,14.9,801,61.4,279,13.1,801,33.3,554.0,39.1,506.0,92.2,142.0,47.6,368,75.8,226,41.6,453.0,Portugal,23217.0,20.4,0.19,"2 days, 10:42:00",47.9884999999999,33.8,42.1,61.5,81.4,54.7,2026.0,Portugal,347.0,453.0
350,377,University of Tsukuba,Japan,Asia,L,FC,VH,Public,49.9,225,32.9,436,58.9,307,30.0,588,18.1,742,31.1,577.0,37.0,526.0,68.4,561.0,18.1,757,73.4,267=,41.5,365.0,Japan,15491.0,12.4,0.17,38 : 62,50.9419999999999,52.0,46.7,50.8,77.1,49.8,2026.0,Japan,350.0,365.0
355,321,National Technical University of Athens,Greece,Europe,L,FO,VH,Public,28.2,448,51.2,244,5.9,801,80.9,153,20.1,,9.6,801.0,14.9,801.0,72.0,499.0,51.4,331,49.3,725=,41.2,823.0,Greece,13139.0,19.5,0.05,35 : 65,38.5325,33.3,24.4,55.1,61.2,35.4,2026.0,Greece,355.0,823.0
358,368,Mahidol University,Thailand,Asia,L,FC,VH,Public,59.4,177,38.8,358,82.4,155,9.0,801,8.5,801,9.1,801.0,14.0,801.0,67.9,569.0,17.4,774,61.2,474=,41.1,630.0,Thailand,29737.0,8.9,0.06,"2 days, 15:37:00",42.797,38.6,28.4,53.1,88.1,49.6,2026.0,Thailand,358.0,630.0
358,349,University of Victoria,Canada,Americas,L,CO,VH,Public,25.6,495,17.3,701,6.2,801,78.7,163,97.2,149,46.0,440.0,51.0,406.0,61.3,673.0,21.2,703,79.9,172=,41.1,316.0,Canada,17663.0,26.3,0.17,"2 days, 10:42:00",53.4799999999999,30.2,37.1,82.9,66.8,83.6,2026.0,Canada,358.0,316.0
