Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
530,Yangzhou University,China,30130,12.4,0.1,,45.6679999999999,34.3,27.1,70.1,81.2,45.5,2026
531,Jinan University (China),China,38488,15.0,0.28,"2 days, 8:44:00",45.646,26.7,25.9,77.8,65.9,57.1,2026
532,National Cheng Kung University (NCKU),Taiwan,21726,19.9,0.11,38 : 62,45.6269999999999,36.9,41.3,52.0,99.8,42.3,2026
533,University of International Business and Economics,China,15343,14.2,0.12,"3 days, 1:27:00",45.6239999999999,29.2,19.0,87.3,31.5,54.0,2026
534,University of Modena and Reggio Emilia,Italy,18479,18.9,0.04,"2 days, 6:46:00",45.5929999999999,34.7,25.7,72.9,77.9,38.9,2026
535,Caâ€™ Foscari University of Venice,Italy,11178,20.3,0.13,"2 days, 16:36:00",45.5845,38.0,38.0,53.2,61.3,65.9,2026
536,University of Windsor,Canada,14932,35.1,0.36,,45.5445,30.4,31.4,60.5,68.2,87.9,2026
537,University of Limerick,Ireland,14691,27.1,0.18,"2 days, 4:48:00",45.5299999999999,28.6,34.6,61.7,73.1,75.0,2026
538,University of Messina,Italy,14308,22.7,0.06,"2 days, 15:37:00",45.508,35.6,28.1,71.8,64.3,36.6,2026
539,Campus Bio-Medico University of Rome,Italy,2820,16.1,0.02,"2 days, 14:38:00",45.4475,36.9,27.2,73.3,54.1,33.6,2026
540,University of Huddersfield,United Kingdom,14200,19.9,0.31,"2 days, 10:42:00",45.4024999999999,25.6,23.9,73.9,51.3,89.3,2026
541,UniversitÃ© du QuÃ©bec,Canada,50342,17.1,0.17,"2 days, 10:42:00",45.3784999999999,33.4,33.5,57.1,73.2,76.7,2026
542,The University of Tulsa,United States,3771,9.9,0.14,"2 days, 1:51:00",45.3724999999999,41.4,17.5,70.6,58.8,60.7,2026
543,University of Valencia,Spain,48963,13.1,0.14,"2 days, 16:36:00",45.369,31.8,27.7,70.9,68.5,52.6,2026
544,"Soochow University, China",China,48737,15.8,0.02,"2 days, 2:50:00",45.324,29.3,26.4,77.6,92.8,27.1,2026
545,University of Ulsan,South Korea,11778,10.7,0.02,"1 day, 21:55:00",45.287,30.6,27.6,75.8,92.9,24.0,2026
546,University of Toulouse,France,110552,22.0,0.16,"2 days, 9:43:00",45.2779999999999,32.5,30.7,62.9,71.0,67.7,2026
547,Federation University Australia,Australia,8886,15.1,0.41,"2 days, 12:40:00",45.2759999999999,20.9,18.2,81.5,70.5,87.5,2026
548,University of Nebraska-Lincoln,United States,23880,16.7,0.07,"2 days, 2:50:00",45.2619999999999,33.1,31.4,63.9,68.6,59.7,2026
549,Missouri University of Science and Technology,United States,7306,21.8,0.13,24 : 76,45.2155,27.9,29.5,64.1,89.0,75.2,2026
550,Maynooth University,Ireland,12263,25.7,0.15,"2 days, 9:43:00",45.1635,23.5,34.4,68.7,50.5,75.0,2026
551,University of Catania,Italy,30470,20.0,0.05,"2 days, 8:44:00",45.153,31.4,22.0,78.7,59.0,47.2,2026
552,Universiti Putra Malaysia,Malaysia,20358,12.8,0.4,"2 days, 16:36:00",45.152,40.7,31.6,51.7,57.1,82.5,2026
553,University of Plymouth,United Kingdom,16895,17.8,0.22,"2 days, 13:39:00",45.0999999999999,23.0,21.2,77.9,65.8,82.2,2026
554,Mizzou - University of Missouri,United States,26560,12.2,0.03,"2 days, 8:44:00",45.0909999999999,39.8,26.2,63.6,69.3,52.0,2026
555,Cyprus University of Technology,Cyprus,3377,15.8,0.15,"2 days, 10:42:00",45.0689999999999,28.9,25.6,75.1,36.3,68.5,2026
556,NOVA University of Lisbon,Portugal,25284,18.6,0.26,"2 days, 3:49:00",45.057,30.2,36.4,59.7,75.8,62.0,2026
557,Royal Veterinary College,United Kingdom,2305,11.0,0.4,"3 days, 9:19:00",45.0565,31.9,21.5,66.2,64.4,93.0,2026
558,TU Dortmund University,Germany,16305,44.7,0.15,"2 days, 2:50:00",45.0544999999999,36.0,35.3,57.0,71.5,56.5,2026
559,Konkuk University,South Korea,11274,25.4,0.22,,45.0345,34.2,38.8,50.2,96.4,63.7,2026
560,American University of Sharjah,United Arab Emirates,5432,17.7,0.72,"2 days, 5:47:00",44.9389999999999,20.9,28.7,73.0,49.7,87.5,2026
561,University of Salerno,Italy,20506,25.6,0.04,"2 days, 9:43:00",44.8865,30.6,30.2,72.7,63.1,36.9,2026
562,Imam Abdulrahman Bin Faisal University,Saudi Arabia,25111,11.0,0.05,"3 days, 17:11:00",44.8695,33.4,19.5,75.4,26.6,75.7,2026
563,Keele University,United Kingdom,10370,15.4,0.2,"2 days, 14:38:00",44.861,23.5,22.6,75.5,63.8,82.3,2026
564,University of Manitoba,Canada,26170,13.7,0.24,"2 days, 6:46:00",44.8375,29.5,25.1,72.9,61.4,60.4,2026
565,Zhejiang University of Technology,China,31557,13.9,0.09,,44.8095,32.0,27.3,69.7,92.5,37.9,2026
566,University of KwaZulu-Natal,South Africa,33675,30.7,0.02,"2 days, 14:38:00",44.7854999999999,31.4,37.9,61.5,49.1,54.9,2026
567,Mahatma Gandhi University,India,2470,9.8,0.02,"2 days, 17:35:00",44.7685,46.5,28.5,63.6,36.4,30.0,2026
568,Liverpool John Moores University,United Kingdom,24415,18.1,0.16,"2 days, 9:43:00",44.705,19.7,19.7,83.8,51.2,79.9,2026
569,University of Bradford,United Kingdom,11775,22.0,0.47,"2 days, 8:44:00",44.6864999999999,21.4,21.4,76.1,58.5,93.3,2026
570,National Taiwan Normal University,Taiwan,11067,12.4,0.17,,44.5895,36.7,32.3,56.2,86.4,54.4,2026
571,Shiraz University of Technology,Iran,1747,14.9,0.0,38 : 62,44.5689999999999,34.2,22.4,77.6,45.6,38.4,2026
572,University of Missouri-Kansas City,United States,9605,12.3,0.13,"2 days, 10:42:00",44.559,30.3,24.4,75.2,64.3,45.5,2026
573,Indian Institute of Technology Indore,India,2332,12.5,0.0,24 : 76,44.5425,42.9,28.9,63.9,40.9,36.0,2026
574,Polytechnic University of Bari,Italy,10542,43.2,0.02,31 : 69,44.5325,27.0,31.1,72.8,73.9,36.7,2026
575,"Goldsmiths, University of London",United Kingdom,8195,13.8,0.48,"2 days, 21:31:00",44.506,28.2,23.5,71.2,48.8,80.8,2026
576,Kyungpook National University (KNU),South Korea,17162,15.8,0.17,"1 day, 23:53:00",44.4974999999999,34.8,38.5,51.0,96.1,52.3,2026
577,Sultan Qaboos University,Oman,7375,8.3,0.04,"2 days, 2:50:00",44.45,30.9,24.6,70.1,40.7,73.9,2026
578,University of the Sunshine Coast,Australia,11020,27.0,0.15,"2 days, 22:30:00",44.3555,21.9,29.5,72.2,64.5,68.0,2026
579,Chulalongkorn University,Thailand,34173,12.0,0.04,"2 days, 7:45:00",44.3495,39.5,31.3,56.1,82.0,46.8,2026
580,Carleton University,Canada,27612,27.0,0.22,"2 days, 1:51:00",44.331,23.4,31.5,64.9,79.2,75.4,2026
581,Tashkent Institute of Irrigation and Agricultural Mechanisation,Uzbekistan,5244,6.5,0.11,"1 day, 20:56:00",44.3204999999999,35.9,13.6,79.9,49.4,51.2,2026
582,University of Ferrara,Italy,23862,33.5,0.05,"2 days, 15:37:00",44.3124999999999,31.9,26.8,70.3,68.5,44.0,2026
583,Ewha Womans University,South Korea,14226,16.6,0.16,"4 days, 4:00:00",44.246,36.9,37.3,50.3,90.9,50.9,2026
584,UPES,India,9231,9.6,0.0,30 : 70,44.2434999999999,29.6,20.9,81.5,23.2,54.3,2026
585,University of Graz,Austria,10958,10.8,0.19,"2 days, 17:35:00",44.2375,32.3,24.1,65.3,51.0,81.2,2026
586,Alfaisal University,Saudi Arabia,3443,11.3,0.37,"2 days, 10:42:00",44.2099999999999,24.2,19.5,73.7,50.4,97.2,2026
587,Auckland University of Technology,New Zealand,17420,17.0,0.49,"2 days, 11:41:00",44.1984999999999,22.6,22.8,73.6,49.8,91.3,2026
588,University of Pretoria,South Africa,34827,18.4,0.07,"2 days, 13:39:00",44.1755,32.3,34.7,57.5,61.1,65.2,2026
589,"Northeastern University, China",China,41594,13.7,0.02,,44.1305,31.7,31.4,63.9,96.2,35.4,2026
590,Georgia State University,United States,32292,16.6,0.09,"2 days, 12:40:00",44.076,32.9,26.7,67.1,62.5,53.3,2026
591,New Jersey Institute of Technology,United States,10459,14.9,0.29,29 : 71,44.062,27.5,23.3,65.2,68.5,91.9,2026
592,Yeungnam University,South Korea,19201,15.4,0.06,"2 days, 2:50:00",44.0375,25.1,22.9,75.3,62.8,65.2,2026
593,"China University of Petroleum, Beijing",China,18745,18.1,0.05,,43.9745,34.2,38.0,56.8,96.7,26.1,2026
594,Lovely Professional University,India,36891,14.9,0.08,28 : 72,43.9434999999999,24.6,17.6,87.6,31.5,53.9,2026
595,Hamburg University of Technology,Germany,4396,21.3,0.28,30 : 70,43.9244999999999,38.1,26.0,56.9,86.0,61.8,2026
596,Gachon University,South Korea,23826,24.4,0.18,"2 days, 2:50:00",43.9119999999999,34.9,24.1,63.8,70.0,62.5,2026
597,Victoria University,Australia,14540,29.4,0.25,"2 days, 11:41:00",43.8669999999999,22.9,24.7,74.5,55.9,71.5,2026
598,UEH University,Vietnam,34586,33.8,0.0,"2 days, 22:30:00",43.811,13.0,21.8,92.1,50.1,53.6,2026
599,RPTU University Kaiserslautern-Landau,Germany,10796,22.4,0.14,"2 days, 1:51:00",43.661,36.1,30.9,56.3,83.2,51.1,2026
600,University of Palermo,Italy,28637,32.9,0.02,"2 days, 10:42:00",43.6415,33.3,30.5,66.7,54.7,37.0,2026
601,KIIT University,India,19682,10.3,0.14,"2 days, 8:44:00",43.64,43.0,20.9,63.5,60.6,45.6,2026
602,Juntendo University,Japan,7371,5.3,0.03,"2 days, 6:46:00",43.6379999999999,37.3,17.2,74.5,83.1,26.3,2026
603,Lincoln University (New Zealand),New Zealand,3123,15.0,0.42,"2 days, 7:45:00",43.6335,29.1,25.6,62.2,53.5,91.0,2026
604,Middlesex University,United Kingdom,14860,19.8,0.49,"2 days, 11:41:00",43.6104999999999,22.4,18.7,76.1,45.3,92.5,2026
605,Banaras Hindu University,India,12447,7.9,0.04,"2 days, 1:51:00",43.5905,49.9,18.0,67.8,31.0,27.6,2026
606,Jagiellonian University,Poland,32022,8.8,0.13,"2 days, 19:33:00",43.5905,43.8,33.6,51.1,54.2,45.7,2026
607,University of Haifa,Israel,16297,17.5,0.03,"2 days, 18:34:00",43.555,29.6,31.2,68.6,65.0,34.6,2026
608,University of Denver,United States,10234,13.3,0.05,"2 days, 14:38:00",43.547,40.2,25.5,63.5,57.2,39.4,2026
609,Graphic Era University,India,11054,13.9,0.02,"1 day, 21:55:00",43.516,20.2,22.2,92.0,20.1,36.2,2026
610,SUNY University at Albany,United States,14843,15.9,0.07,"2 days, 5:47:00",43.4325,28.7,27.6,66.4,68.8,57.2,2026
611,Nottingham Trent University,United Kingdom,36005,15.0,0.25,"2 days, 6:46:00",43.4214999999999,20.8,14.1,83.3,38.1,89.1,2026
612,Sciences Po,France,14675,49.1,0.41,"2 days, 16:36:00",43.403,30.1,24.8,67.9,18.6,82.9,2026
613,Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,38256,11.2,0.15,"2 days, 2:50:00",43.3695,33.2,22.1,64.9,36.6,83.1,2026
614,American University of the Middle East,Kuwait,5014,11.1,0.15,"2 days, 14:38:00",43.3375,29.1,19.5,71.9,27.7,85.6,2026
615,Aligarh Muslim University,India,21223,14.7,0.01,39 : 61,43.331,41.3,16.8,72.4,37.2,40.9,2026
616,University of Greenwich,United Kingdom,22915,22.4,0.54,"2 days, 9:43:00",43.3034999999999,17.6,16.5,81.6,39.1,97.1,2026
617,University of Wuppertal,Germany,12951,29.3,0.11,"2 days, 6:46:00",43.295,31.5,31.2,60.6,65.3,55.5,2026
618,National University of Sciences and Technology,Pakistan,12468,12.0,0.05,38 : 62,43.253,23.6,23.8,75.3,64.6,56.2,2026
619,University of Passau,Germany,7360,45.5,0.14,"2 days, 11:41:00",43.2325,32.7,37.0,52.5,70.4,57.2,2026
620,Manchester Metropolitan University,United Kingdom,33935,18.1,0.22,"2 days, 10:42:00",43.214,20.8,19.5,78.3,42.7,83.0,2026
621,Centrale Nantes,France,1755,13.2,0.37,1.0118055555555556,43.1775,39.9,31.2,41.7,86.1,85.4,2026
622,Nanjing University of Science and Technology (NJUST),China,36520,15.2,0.02,31 : 69,43.1345,33.4,31.2,66.8,63.4,22.1,2026
623,University of Arkansas,United States,28164,20.3,0.03,"2 days, 8:44:00",43.131,28.9,32.5,66.2,67.2,35.1,2026
624,Anglia Ruskin University (ARU),United Kingdom,28065,27.2,0.49,"2 days, 14:38:00",42.9604999999999,18.5,14.6,83.6,34.1,91.0,2026
625,Lehigh University,United States,6933,11.6,0.16,"1 day, 22:54:00",42.958,33.8,22.7,61.2,67.6,71.2,2026
626,Tabriz University of Medical Sciences,Iran,7290,8.5,0.02,"2 days, 5:47:00",42.9385,42.3,16.1,71.8,42.9,33.8,2026
627,Tarbiat Modares University,Iran,10360,13.8,0.06,"1 day, 23:53:00",42.917,36.5,25.5,67.1,54.3,32.7,2026
628,University of NeuchÃ¢tel,Switzerland,4365,10.7,0.23,"2 days, 12:40:00",42.9044999999999,35.0,24.2,57.8,47.1,84.5,2026
629,The Catholic University of Korea (CUK),South Korea,7349,18.6,0.15,"2 days, 10:42:00",42.858,31.6,39.0,50.9,92.9,43.2,2026
630,Mahidol University,Thailand,29737,8.9,0.06,"2 days, 15:37:00",42.797,38.6,28.4,53.1,88.1,49.6,2026
631,Bilkent University,Turkey,8980,19.8,0.06,"2 days, 0:52:00",42.7829999999999,28.4,35.5,51.3,99.5,63.2,2026
632,University of Canterbury,New Zealand,14857,19.1,0.18,"2 days, 2:50:00",42.7575,26.6,28.3,59.9,64.4,82.1,2026
633,Graz University of Technology,Austria,6734,8.7,0.26,27 : 73,42.6604999999999,41.9,22.7,46.5,95.3,79.4,2026
634,Nanjing Forestry University,China,36679,18.1,0.01,,42.6525,21.2,23.8,83.4,61.1,27.1,2026
635,Ã‰cole Nationale des Travaux Publics de l'Ã‰tat (ENTPE),France,794,13.5,0.17,"1 day, 19:57:00",42.6475,36.4,37.2,41.8,80.1,71.7,2026
636,TU Braunschweig,Germany,14251,16.3,0.15,"1 day, 18:58:00",42.6445,36.0,24.3,58.5,77.5,57.7,2026
637,University of Klagenfurt,Austria,3377,8.7,0.33,"2 days, 18:34:00",42.6369999999999,34.4,19.6,60.5,49.5,89.0,2026
638,Hiroshima University,Japan,14922,8.7,0.12,38 : 62,42.6219999999999,41.7,31.4,47.8,79.8,49.1,2026
639,The University of Jordan,Jordan,23745,12.2,0.26,"2 days, 15:37:00",42.6115,32.0,19.5,67.2,41.6,75.9,2026
640,Ã–rebro University,Sweden,9943,16.6,0.06,"2 days, 15:37:00",42.5915,19.3,25.2,78.3,50.5,54.4,2026
641,University of North Carolina at Charlotte,United States,27004,21.1,0.08,"2 days, 2:50:00",42.5565,23.9,24.5,76.2,60.9,41.4,2026
642,University of Granada,Spain,51046,14.3,0.11,"2 days, 13:39:00",42.5495,31.3,29.7,60.9,60.7,53.4,2026
643,University of Alaska Fairbanks,United States,2895,8.5,0.06,"2 days, 8:44:00",42.519,34.8,30.7,53.6,55.0,67.6,2026
644,Auburn University,United States,28365,18.5,0.07,"2 days, 3:49:00",42.5055,36.5,27.9,55.6,71.8,54.6,2026
645,Universiti Pendidikan Sultan Idris,Malaysia,5754,8.9,0.28,"2 days, 11:41:00",42.4999999999999,39.4,27.6,48.4,56.2,81.4,2026
646,University of Lincoln,United Kingdom,15645,15.0,0.24,"2 days, 10:42:00",42.4539999999999,20.5,18.5,77.2,34.1,86.9,2026
647,"University of Nevada, Las Vegas",United States,26545,22.1,0.03,"2 days, 9:43:00",42.452,31.0,22.9,71.9,52.4,40.0,2026
648,University of Mons,Belgium,8374,26.7,0.17,"2 days, 8:44:00",42.4409999999999,27.2,30.9,58.4,66.4,70.4,2026
649,University of Crete,Greece,12551,22.7,0.05,"2 days, 16:36:00",42.3925,24.7,29.1,68.5,66.3,46.2,2026
650,Ulster University,United Kingdom,24440,23.3,0.29,"2 days, 7:45:00",42.345,22.8,22.8,65.7,54.3,95.0,2026
651,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,7584,12.4,0.1,"2 days, 1:51:00",42.326,37.9,23.9,59.0,52.8,58.7,2026
652,UniversitÃ© CÃ´te d'Azur,France,31714,19.8,0.21,"2 days, 9:43:00",42.3194999999999,30.9,20.8,61.4,65.8,81.6,2026
653,University of Tabriz,Iran,21199,23.6,0.15,"2 days, 3:49:00",42.3005,28.6,21.4,72.8,45.5,53.3,2026
654,University of Calabria,Italy,10386,15.7,0.08,"2 days, 6:46:00",42.299,39.5,21.9,62.4,59.7,42.5,2026
655,Babol Noshirvani University of Technology,Iran,5917,26.6,0.03,34 : 66,42.275,22.1,21.9,86.1,36.3,28.3,2026
656,University of Lâ€™Aquila,Italy,19246,25.5,0.06,"2 days, 5:47:00",42.2469999999999,32.8,22.4,66.6,78.5,39.4,2026
657,East China University of Science and Technology,China,32389,19.0,0.02,"1 day, 19:57:00",42.1849999999999,31.1,29.1,63.3,96.6,22.9,2026
658,COMSATS University Islamabad,Pakistan,33193,15.8,0.01,39 : 61,42.1595,19.8,16.9,86.2,43.5,50.9,2026
659,Concordia University,Canada,36811,25.5,0.35,"2 days, 1:51:00",42.1419999999999,24.5,25.8,63.7,68.0,74.7,2026
660,Egypt-Japan University of Science and Technology (E-JUST),Egypt,3015,26.5,0.04,33 : 67,42.132,30.7,27.4,65.0,40.8,53.3,2026
661,Management & Science University (MSU),Malaysia,4038,7.5,0.58,"2 days, 13:39:00",42.1275,33.2,15.0,65.8,33.4,92.1,2026
662,"Amity University, Noida",India,29510,14.9,0.14,"2 days, 9:43:00",42.127,28.7,17.6,76.9,42.1,50.7,2026
663,University of Minho,Portugal,21465,20.8,0.13,"2 days, 7:45:00",42.1055,28.0,33.6,57.1,82.6,48.9,2026
664,Isfahan University of Technology,Iran,10096,22.6,0.03,40 : 60,42.0945,34.1,27.6,59.7,84.4,36.6,2026
665,Panjab University,India,16479,15.9,0.02,"2 days, 17:35:00",42.09,38.2,19.6,71.2,48.3,24.6,2026
666,University of Udine,Italy,11915,16.7,0.05,"2 days, 8:44:00",41.9795,32.8,20.9,69.4,58.5,41.1,2026
667,Jiangnan University,China,32581,12.1,0.01,,41.9615,29.5,25.8,68.0,92.8,22.2,2026
668,Tomsk State University,Russian Federation,7985,11.7,0.37,,41.9429999999999,50.5,38.3,27.0,55.9,74.7,2026
669,UiT The Arctic University of Norway,Norway,15308,10.6,0.1,"2 days, 14:38:00",41.9385,27.3,23.1,67.6,48.9,66.0,2026
670,Universitat PolitÃ¨cnica de Catalunya,Spain,24055,10.3,0.13,30 : 70,41.9124999999999,34.2,22.6,58.7,75.8,61.7,2026
671,Majmaah University,Saudi Arabia,11910,9.9,0.03,"1 day, 23:53:00",41.899,32.2,25.4,59.7,35.6,76.0,2026
672,Tallinn University of Technology,Estonia,7451,13.2,0.12,40 : 60,41.898,26.2,24.9,66.0,69.2,58.4,2026
673,Universiti Tenaga Nasional (UNITEN),Malaysia,4317,10.0,0.2,33 : 67,41.888,26.1,16.3,72.8,68.1,65.3,2026
674,Edinburgh Napier University,United Kingdom,14615,21.8,0.21,"2 days, 7:45:00",41.886,17.5,19.7,75.3,41.2,90.3,2026
675,ISCTE-University Institute of Lisbon,Portugal,10999,26.0,0.18,"2 days, 5:47:00",41.878,29.8,35.9,54.9,59.9,50.8,2026
676,University of Lille,France,78318,30.6,0.14,"2 days, 13:39:00",41.8105,33.6,23.4,58.5,67.0,65.1,2026
677,Dhofar University,Oman,3049,15.9,0.07,"2 days, 5:47:00",41.8025,16.9,19.0,80.8,27.8,79.4,2026
678,Oklahoma State University,United States,22574,14.7,0.05,"2 days, 5:47:00",41.7874999999999,36.5,21.1,60.9,61.9,55.4,2026
679,Ocean University of China,China,35422,18.2,0.01,,41.7865,31.3,29.5,63.6,69.7,28.4,2026
680,"UEES, Espiritu Santo University",Ecuador,4596,10.9,0.24,"2 days, 3:49:00",41.7715,38.8,15.3,58.8,39.9,88.7,2026
681,University of Cagliari,Italy,14312,15.0,0.02,"2 days, 14:38:00",41.7665,33.8,24.0,64.3,62.7,40.5,2026
682,Claude Bernard University Lyon 1,France,35702,16.9,0.13,"2 days, 8:44:00",41.72,27.0,26.4,62.6,70.1,60.2,2026
683,Nantes UniversitÃ©,France,35045,17.3,0.12,"2 days, 9:43:00",41.7185,29.3,21.4,65.6,67.6,59.8,2026
684,Sukkur IBA University,Pakistan,5580,19.6,0.0,30 : 70,41.7044999999999,19.6,26.7,77.9,26.3,50.1,2026
685,Coventry University,United Kingdom,30640,14.6,0.58,"2 days, 2:50:00",41.677,21.6,15.1,73.5,44.9,94.4,2026
686,Aberystwyth University,United Kingdom,6330,15.1,0.21,"2 days, 4:48:00",41.66,26.9,22.2,61.9,62.1,83.1,2026
687,Toronto Metropolitan University,Canada,37827,39.8,0.11,"2 days, 6:46:00",41.6279999999999,22.4,32.0,61.1,69.0,62.0,2026
688,Amedeo Avogadro University of Eastern Piedmont,Italy,15817,35.5,0.1,"2 days, 13:39:00",41.6249999999999,25.6,24.8,70.6,52.9,47.8,2026
689,Symbiosis International University,India,22845,14.4,0.07,"1 day, 23:53:00",41.613,29.3,15.8,80.2,27.0,43.3,2026
690,Paderborn University,Germany,14479,38.3,0.13,"2 days, 3:49:00",41.5835,31.1,35.9,51.4,70.7,50.0,2026
691,Manipal Academy of Higher Education,India,24076,8.6,0.12,"2 days, 2:50:00",41.5795,44.7,18.6,56.4,54.1,52.2,2026
692,Thapar Institute of Engineering and Technology,India,7763,15.0,0.04,35 : 65,41.5709999999999,33.3,17.6,72.5,38.9,44.5,2026
693,Zhejiang Normal University,China,34011,13.5,0.07,,41.5545,19.2,22.0,80.1,63.7,39.1,2026
694,Central University of Punjab,India,2829,14.1,0.02,37 : 63,41.5404999999999,30.3,19.8,78.7,26.5,29.2,2026
695,Duy Tan University,Vietnam,23574,22.7,0.01,"2 days, 13:39:00",41.532,12.8,17.0,91.9,27.9,55.2,2026
696,Harokopio University of Athens,Greece,2994,28.1,0.04,"2 days, 3:49:00",41.5145,20.8,24.2,79.3,40.2,39.5,2026
697,Masaryk University,Czechia,33661,18.2,0.25,"2 days, 14:38:00",41.4989999999999,26.8,32.6,57.1,51.1,66.2,2026
698,Nanjing University of Aeronautics and Astronautics,China,36035,15.4,0.02,,41.4785,30.2,35.4,54.9,98.4,25.3,2026
699,University of Tuscia,Italy,6305,24.0,0.12,"2 days, 1:51:00",41.477,23.8,28.7,66.5,59.7,50.6,2026
700,King Faisal University,Saudi Arabia,22366,10.4,0.06,"2 days, 17:35:00",41.45,25.6,14.8,73.7,40.4,78.4,2026
701,Lorestan University of Medical Sciences,Iran,4068,18.9,0.01,"2 days, 9:43:00",41.4385,39.1,18.4,67.9,50.2,29.2,2026
702,National Research Nuclear University MEPhI,Russian Federation,5352,10.1,0.28,"2 days, 1:51:00",41.4345,49.3,35.0,29.2,63.4,72.6,2026
703,Iran University of Medical Sciences,Iran,8876,7.8,0.19,"2 days, 6:46:00",41.4344999999999,48.3,17.3,56.5,43.1,46.6,2026
704,Xidian University,China,39572,14.3,0.01,25 : 75,41.434,28.6,25.2,66.5,95.1,25.8,2026
705,The University of Texas at San Antonio,United States,27369,24.2,0.03,"2 days, 5:47:00",41.4225,21.9,23.4,75.7,60.9,40.4,2026
706,University of New Brunswick UNB,Canada,8975,12.4,0.22,"2 days, 5:47:00",41.421,23.8,19.5,67.1,63.5,81.0,2026
707,Golestan University,Iran,3950,30.4,0.08,"2 days, 14:38:00",41.3454999999999,22.1,15.6,83.1,23.3,59.2,2026
708,Shiraz University of Medical Sciences,Iran,9998,9.8,0.03,"2 days, 7:45:00",41.312,46.6,19.5,58.6,58.0,26.8,2026
709,University of Insubria,Italy,9546,23.1,0.05,"2 days, 8:44:00",41.306,19.0,23.7,79.3,48.7,41.2,2026
710,"University of Maryland, Baltimore County",United States,12398,17.8,0.19,"1 day, 22:54:00",41.2795,27.5,27.2,61.3,67.6,55.8,2026
711,TecnolÃ³gico de Monterrey,Mexico,17141,14.1,0.14,"1 day, 19:57:00",41.0834999999999,26.7,26.4,59.6,68.4,65.8,2026
712,Indian Institute of Technology Patna,India,2840,17.1,0.01,1.0118055555555556,41.061,34.8,22.5,70.4,36.0,22.8,2026
713,London South Bank University,United Kingdom,14425,15.9,0.4,"2 days, 7:45:00",41.0239999999999,18.5,13.0,75.6,48.1,95.9,2026
714,Rovira i Virgili University,Spain,14226,13.2,0.12,"2 days, 12:40:00",40.9679999999999,28.2,25.1,62.5,57.5,57.6,2026
715,Bar-Ilan University,Israel,19887,20.6,0.04,"2 days, 10:42:00",40.939,33.8,34.8,52.6,65.9,32.8,2026
716,University of Hertfordshire,United Kingdom,27285,19.5,0.61,"1 day, 23:53:00",40.8465,18.2,13.2,76.5,44.8,92.1,2026
717,Chitkara University,India,18269,13.8,0.03,"1 day, 20:56:00",40.8105,21.1,14.7,91.0,22.7,28.2,2026
718,Cyprus International University,Northern Cyprus,14569,23.8,0.93,"1 day, 23:53:00",40.8025,17.8,12.1,83.5,17.5,83.9,2026
719,Urmia University of Medical Sciences,Iran,5350,11.5,0.08,"2 days, 2:50:00",40.7795,41.4,11.7,73.2,22.4,30.9,2026
720,Yarmouk University,Jordan,21300,23.6,0.15,,40.7555,29.3,17.9,69.9,29.9,63.4,2026
721,Worcester Polytechnic Institute,United States,6312,12.9,0.14,36 : 64,40.711,32.6,21.4,59.6,67.2,57.6,2026
722,Obuda University,Hungary,8068,26.6,0.07,0.8888888888888888,40.6819999999999,17.4,30.9,72.8,27.2,48.8,2026
723,Federal University of Rio de Janeiro,Brazil,56160,14.6,0.01,"2 days, 8:44:00",40.681,42.6,36.2,38.1,84.9,37.2,2026
724,University of Beira Interior,Portugal,8307,16.8,0.21,"2 days, 8:44:00",40.655,23.8,23.4,71.4,39.7,51.2,2026
725,University of the West of Scotland,United Kingdom,16955,24.9,0.39,"2 days, 12:40:00",40.6265,19.5,15.5,69.7,66.1,91.0,2026
726,Ã‰cole des Mines de Saint-Ã‰tienne,France,1128,9.5,0.29,27 : 73,40.6164999999999,47.3,31.3,30.1,78.9,72.0,2026
727,Kadir Has University,Turkey,4058,22.4,0.11,"2 days, 10:42:00",40.5655,19.4,31.7,67.1,32.8,56.1,2026
728,Kobe University,Japan,15355,9.8,0.07,35 : 65,40.556,41.5,28.9,45.0,89.0,38.3,2026
729,Air University,Pakistan,10530,14.5,0.0,35 : 65,40.54,22.5,12.6,83.7,34.9,49.9,2026
730,Jouf University,Saudi Arabia,11978,9.6,0.02,"1 day, 23:53:00",40.5015,23.8,17.6,72.3,25.6,75.5,2026
731,Malaviya National Institute of Technology,India,5589,17.0,0.01,26 : 74,40.4325,31.7,19.1,73.9,39.3,24.0,2026
732,SRUC (Scotlandâ€™s Rural College),United Kingdom,1400,4.3,0.09,"2 days, 17:35:00",40.4,25.2,14.9,75.4,28.0,65.4,2026
733,Louisiana State University,United States,33738,20.7,0.04,"2 days, 8:44:00",40.3665,34.1,20.6,60.8,65.7,46.2,2026
734,University of the Basque Country,Spain,39279,11.6,0.06,"2 days, 8:44:00",40.3505,31.1,21.9,63.3,61.5,45.0,2026
735,Shahid Beheshti University of Medical Sciences,Iran,12165,7.9,0.06,"2 days, 7:45:00",40.3339999999999,45.0,20.4,52.8,73.7,31.4,2026
736,New Mexico State University (Main campus),United States,12251,15.8,0.06,"2 days, 10:42:00",40.317,26.2,24.5,66.2,56.2,45.0,2026
