Name,Country,Region,QS Rank,QS Overall Score,Academic Reputation SCORE,Employer Reputation SCORE,Faculty Student Ratio SCORE,Citations per Faculty SCORE,International Faculty  SCORE,International Student SCORE,International Students Diversity SCORE,International Research Network SCORE,Employment Outcomes SCORE,Sustainability SCORE,THE Rank,THE Overall Score,THE Student Population,THE Student Staff Ratio,THE International Students,THE Female Male Ratio,THE Teaching,THE Research Environment,THE Research Quality,THE Industry Impact,THE International Outlook,Year
university of porto,portugal,Europe,237,51.6,52.5,41.5,13.6,73.6,9.2,38.2,33.1,94.3,61.2,77.3,415,49.2525,"38,127",17.5,19%,55:45:00,33.7,39.1,70.2,67.8,56,2026
maastricht university,netherlands,Europe,239,51.4,32.8,33.7,18.6,71.7,99.9,100,100,85.6,49.6,80.2,131,63.2565,"21,903",16.4,60%,60:40:00,41.4,46.1,88.3,98.3,96.7,2026
hebrew university of jerusalem,israel,Asia,240,51.3,42.9,36.4,74.6,41.9,81.9,33.5,38.8,74.2,97.1,65.5,261,55.982,"17,488",16.2,3%,58:42:00,48.1,47.2,72.6,77.3,43.1,2026
victoria university of wellington,new zealand,Oceania,240,51.3,57.2,32.2,15.7,44.3,100,56.7,60.9,70.1,77.6,83.3,434,48.521,"15,728",17.4,12%,59:41:00,29,33.5,73.7,62.9,75,2026
university college cork,ireland,Europe,246,50.7,43.4,48.1,22.5,52.7,86.2,75,77.4,68.8,49.5,83.8,367,50.9105,"19,075",20.2,23%,59:41:00,29.3,33.2,78.7,77.6,79,2026
universiti teknologi petronas,malaysia,Asia,251,50.2,29.7,41,44.6,95,87,29.5,30.7,72.1,5.2,50,205,58.3765,"4,262",13,13%,38 : 62,41.6,40.3,82.4,94.5,78.9,2026
university of strathclyde,united kingdom,Europe,251,50.2,37.5,40.5,17.8,57.2,99.2,89,90,84.5,46,84.6,362,51.0185,"19,085",14.3,28%,52:48:00,37,35.2,66.4,79.7,90.5,2026
university of canterbury,new zealand,Oceania,261,49.4,48.8,34.7,12.1,48.2,100,48.1,53,60.9,87.4,88.2,632,42.7575,"14,857",19.1,18%,50:50:00,26.6,28.3,59.9,64.4,82.1,2026
university of aberdeen,united kingdom,Europe,262,49.3,40.1,34.8,44.9,42.9,95.8,87.2,88.3,89.7,30,87.8,249,56.406,"11,875",12.9,36%,58:42:00,38,34.8,82.3,79.6,96.4,2026
university of navarra,spain,Europe,262,49.3,40.8,78.2,50.6,25.3,26.8,84,85.4,58.3,80.5,66.1,293,54.641,"12,748",15.3,30%,56:44:00,37.2,34.1,81.9,90.7,74.4,2026
university of surrey,united kingdom,Europe,262,49.3,29.7,30,33.4,74.4,98,88.7,89.7,86.6,30.7,60.4,220,57.5985,"14,440",14.4,33%,54:46:00,36.3,34.4,89.5,71.6,96,2026
charles university,czechia,Europe,265,49,58.5,55.5,37,14.3,33.5,61.7,65.4,97.2,73.2,76.9,465,47.347,"53,904",13.5,24%,62:38:00,37.9,32.2,64.8,63.4,64.7,2026
norwegian university of science and technology,norway,Europe,267,48.9,45.9,33.4,30.7,45.1,87.4,17.7,23.8,95.2,90.5,80.3,331,52.6365,"38,384",15,9%,51:49:00,36.7,39.1,75.9,71.4,64.6,2026
griffith university,australia,Oceania,268,48.7,37.7,16.6,13.3,75.1,100,70.7,73.5,93.4,26.6,91.7,291,54.6965,"30,484",26.3,25%,60:40:00,30.5,37.3,83.7,80.8,87.2,2026
university of warsaw,poland,Europe,271,48.3,61,62.8,59.5,10,13.5,15.7,21.8,85.9,74.4,74,770,39.6505,"34,878",11,10%,60:40:00,38.1,32.6,46.7,39.3,45,2026
american university of sharjah,united arab emirates,Asia,272,48.2,31.7,65.1,24.6,43.8,100,100,100,50.6,60.6,54.4,560,44.939,"5,432",17.7,72%,53:47:00,20.9,28.7,73,49.7,87.5,2026
university of milan,italy,Europe,276,48,65.9,27,10.2,56.6,10.8,13.4,19.4,85.1,63.1,76.4,323,53.1185,"44,429",17.4,7%,60:40:00,38.9,32.5,86.1,71.2,47.2,2026
university of sussex,united kingdom,Europe,278,47.9,33.8,21,21.4,60.7,99,89.5,90.4,86.3,53.6,90,237,56.9305,"18,015",16.7,37%,55:45:00,34.3,36,88.9,64.8,94.8,2026
radboud university nijmegen,netherlands,Europe,279,47.6,38.6,20.3,34.8,73.2,83.5,30.1,36,92.5,34.9,67.7,155,61.537,"23,615",16.1,13%,58:42:00,38.5,49.7,89.3,82.1,75.9,2026
university of antwerp,belgium,Europe,280,47.4,35,18.8,42.8,57.7,96.4,45.5,50.5,95.2,60.3,80.6,173,60.6475,"16,836",32.6,17%,57:43:00,38.9,44.3,89.6,98.5,73.4,2026
university of waikato,new zealand,Oceania,281,47.3,28.2,18.8,16.2,82.1,99.5,79.7,81.6,49,58.4,84.8,461,47.526,"10,521",20.7,31%,61:39:00,24.1,31.5,72.3,74.6,88.1,2026
dalhousie university,canada,Americas,283,47.2,27.1,23.9,15.8,76.2,100,79.4,81.3,79.9,39.8,85.3,354,51.4795,"17,682",13.4,27%,53:47:00,33.1,33.2,75.4,74.3,86.6,2026
heriot watt university,united kingdom,Europe,287,46.8,25.7,34.8,27.3,61.8,100,97,97.2,75.7,37,77.2,501,46.2545,"9,705",15.4,44%,39 : 61,33.4,30.3,58.8,70.3,95.5,2026
universitas airlangga,indonesia,Asia,287,46.8,52.2,88.3,69.6,2.5,77.3,10.8,16.7,52.9,24,56.6,1308,30.2505,"32,097",7.2,8%,66:34:00,28.6,14.1,39.2,24.8,66.3,2026
university of bergen,norway,Europe,287,46.8,40.5,13.7,67.2,42.5,96.9,37.9,43.5,91,69.5,65.1,287,54.9005,"15,304",13,13%,62:38:00,35.3,36.4,84.1,75.4,75.8,2026
university of the witwatersrand,south africa,Africa,291,46.4,36.8,50.9,14,40.2,86.8,9.4,15.1,96.7,99.5,85.6,318,53.271,"26,928",22.4,6%,60:40:00,34.9,43.1,70.8,91.6,74.3,2026
swansea university,united kingdom,Europe,292,46.2,34.7,54.7,28.6,43,76.9,80.5,82.4,79.7,13.7,84.4,321,53.157,"18,650",15.9,25%,49:51:00,30.8,30.6,87.4,58.3,88.6,2026
swinburne university of technology,australia,Oceania,294,46,18.8,19.3,14.7,95,87.8,94.7,70.5,74,22.8,73.4,256,56.158,"15,725",28.4,41%,43:57:00,33,33.6,91.4,78.1,81.8,2026
vrije universiteit brussel,belgium,Europe,294,46,33.3,22.1,75.6,27.7,96.8,72.1,74.8,92.2,63.2,80,234,57.085,"16,387",37.1,24%,59:41:00,37.8,42.5,80.4,93.6,76.6,2026
université paris cité,france,Europe,300,45.5,37.7,13.9,11,92.5,24.8,61,45.5,99.5,22.8,55.7,192,59.2905,"66,075",18.2,22%,64:36:00,44.4,38,89.9,68,73.1,2026
stellenbosch university,south africa,Africa,302,45.2,36.7,44.8,5,67.5,25.4,14.5,11,93.6,88.9,61,326,52.815,"25,956",26.8,7%,58:42:00,34.8,40.8,75.5,91.8,58.6,2026
jagiellonian university,poland,Europe,303,45.1,49.9,54.4,75.3,10.4,8,30,35.9,88.6,61.5,71.6,606,43.5905,"32,022",8.8,13%,67:33:00,43.8,33.6,51.1,54.2,45.7,2026
university of southern denmark,denmark,Europe,303,45.1,29.2,24.9,31.9,68.4,91.7,46.4,51.3,77.4,27,85,281,55.207,"17,548",9.5,15%,54:46:00,30.4,36,87.3,98.1,75.8,2026
aalborg university,denmark,Europe,306,44.9,26.4,25,27.7,77.2,89,29.4,35.4,91.7,25.4,79.1,259,56.063,"16,050",13.9,13%,Unknown,33.6,44.9,80.6,88,72.4,2026
simon fraser university,canada,Americas,308,44.7,34.9,20.7,7.6,59.6,99.1,86.1,87.3,78.4,34,85.2,335,52.312,"26,776",24.9,31%,54:46:00,26.9,35.6,79.7,83.5,90.7,2026
university of johannesburg,south africa,Africa,308,44.7,25.5,25.9,46.5,45.2,98.5,60.1,63.9,99.1,69.6,74.8,388,50.2025,"32,659",26.5,14%,56:44:00,29.5,38.4,69.9,81.1,82,2026
linköping university,sweden,Europe,310,44.5,25.4,32.2,50.2,55.2,85.8,46.3,48.3,81.5,50.8,68.2,241,56.765,"15,130",14.5,18%,54:46:00,31.1,40.4,89.1,96.8,70.3,2026
university of tasmania,australia,Oceania,314,44.3,22.5,12.2,34.3,72.8,87.1,91.7,92.3,80.4,25,84,255,56.179,"13,316",17.1,31%,58:42:00,34.3,36.9,84.5,82.8,89.3,2026
l.n. gumilyov eurasian national university,kazakhstan,Asia,317,43.9,40.1,85.8,94.7,2,84.6,25.8,27.2,31.4,7.5,46.6,1748,23.3215,"23,205",18.3,4%,49:51:00,20.9,15.2,25.4,17.2,59.2,2026
bauman moscow state technical university,russian federation,Europe,320,43.5,41.1,63.8,99.9,2,81,85.8,87.1,14.2,10.1,47.6,340,52.136,"15,623",6.9,20%,45:55:00,68.4,42.8,43,54.4,59.6,2026
université grenoble alpes,france,Europe,321,43.4,55.3,19.2,10.4,51.8,30.9,47.9,52.7,94.1,31.8,60,396,50.025,"48,893",17.9,19%,52:48:00,42.6,36.7,62.7,70,69.4,2026
university of jordan,jordan,Asia,324,43,47.9,59.8,28.9,7.3,33.8,64.5,68,69.2,90.1,64.1,639,42.6115,"23,745",12.2,26%,63:37:00,32,19.5,67.2,41.6,75.9,2026
university of leicester,united kingdom,Europe,326,42.9,29.6,17.7,40.1,44.2,90.6,90.6,91.4,91.1,31,81.2,193,59.204,"16,435",14.5,37%,53:47:00,35.4,34.9,95.9,69,94.8,2026
university of delhi,india,Asia,328,42.6,46.9,41.9,6.9,47.1,1.8,2.8,7.5,83,98.9,71.2,802,39.005,"24,204",20.2,2%,47:53:00,42.9,29.7,45.8,53.6,24.7,2026
university of sharjah,united arab emirates,Asia,328,42.6,28.5,34.9,9.3,52.2,100,100,100,84.8,19.3,58.8,338,52.243,"12,327",17.7,51%,67:33:00,23.5,27,94.3,44.7,98.7,2026
satbayev university,kazakhstan,Asia,331,42.5,40.6,58.8,94.2,1.7,89.2,53.7,48.5,25.7,33,48.7,1644,25.034,"8,346",11.2,17%,55:45:00,26.7,14.7,19.3,32.3,77.5,2026
york university,canada,Americas,333,42.4,33.4,31.7,5,37.8,87.3,78.9,80.9,73.5,82.2,84.5,422,49.0635,"41,456",27.4,28%,54:46:00,29.3,33.2,71.5,72.3,86,2026
sultan qaboos university,oman,Asia,334,42.3,28.9,25.9,62.3,39.5,100,6,9.9,80.9,70,69.6,577,44.45,"7,375",8.3,4%,50:50:00,30.9,24.6,70.1,40.7,73.9,2026
university of oulu,finland,Europe,342,42,23,21.8,29.5,74.5,80.9,19.7,25.8,87.9,30.6,75.2,272,55.6275,"11,334",22,10%,56:44:00,36.7,39.5,85.8,70.9,63.6,2026
university of pisa,italy,Europe,343,41.8,51.6,26.3,12.8,59.6,5,10.5,16.3,84.6,25.1,72.8,394,50.0295,"29,834",17.2,7%,52:48:00,36.3,34.7,77.7,67.7,43.2,2026
national taiwan university of science and technology,taiwan,Asia,345,41.7,36.7,48.6,50.6,46.8,31.3,35.3,38.9,45.6,25.4,56.8,463,47.433,"9,244",19,16%,30 : 70,33.2,38.3,62.9,97.8,50,2026
cairo university,egypt,Africa,347,41.6,60.8,52.7,13.8,6,4.2,14.4,10.9,88.9,98,66.6,846,38.036,"1,73,478",24.6,7%,60:40:00,29.4,20,60.7,42.7,48.6,2026
tilburg university,netherlands,Europe,347,41.6,20.5,37.1,16.8,67.1,99,77.4,79.5,61.1,23.1,50.6,330,52.7115,"12,796",19.9,24%,53:47:00,29.1,42.9,73.8,78.9,85.2,2026
university of coimbra,portugal,Europe,347,41.6,39.2,24.9,14.9,61.4,13.1,33.3,39.1,92.2,47.6,75.8,453,47.9885,"23,217",20.4,19%,58:42:00,33.8,42.1,61.5,81.4,54.7,2026
technion israel institute of technology,israel,Asia,350,41.5,32.2,35.6,67.3,33.3,91.1,10.6,8.1,57.5,65.9,53.2,343,52.0575,"15,310",21.6,14%,41:59:00,43.9,41.7,62.9,73.1,69.6,2026
university of münster,germany,Europe,350,41.5,42.3,41.5,79.6,15.5,35.6,8.4,14.1,82.5,45.3,74.6,198,58.9625,"26,499",23.7,7%,Unknown,43.9,47.2,83.2,82.1,54.4,2026
university of tsukuba,japan,Asia,350,41.5,49.9,32.9,58.9,30,18.1,31.1,37,68.4,18.1,73.4,365,50.942,"15,491",12.4,17%,38 : 62,52,46.7,50.8,77.1,49.8,2026
quaid i azam university,pakistan,Asia,354,41.3,24,47.6,5.3,97.5,9.8,3.1,7.8,67.5,27.8,46.9,484,46.8425,"12,431",20.9,2%,46:54:00,28.8,24.5,84.7,40.6,56.1,2026
national technical university of athens,greece,Europe,355,41.2,28.2,51.2,5.9,80.9,20.1,9.6,14.9,72,51.4,49.3,823,38.5325,"13,139",19.5,5%,35 : 65,33.3,24.4,55.1,61.2,35.4,2026
mahidol university,thailand,Asia,358,41.1,59.4,38.8,82.4,9,8.5,9.1,14,67.9,17.4,61.2,630,42.797,"29,737",8.9,6%,63:37:00,38.6,28.4,53.1,88.1,49.6,2026
university of victoria,canada,Americas,358,41.1,25.6,17.3,6.2,78.7,97.2,46,51,61.3,21.2,79.9,316,53.48,"17,663",26.3,17%,58:42:00,30.2,37.1,82.9,66.8,83.6,2026
university of pretoria,south africa,Africa,362,40.9,32.3,55.1,6.2,31.2,57.2,17.4,23.5,97.6,84.8,80.1,588,44.1755,"34,827",18.4,7%,61:39:00,32.3,34.7,57.5,61.1,65.2,2026
university of tartu,estonia,Europe,362,40.9,28.6,23.7,94.6,19.1,62.1,20.8,26.9,89,89.2,64.2,353,51.565,"9,766",8.9,13%,68:32:00,34.5,31.4,84,65.1,59.7,2026
university of the philippines,philippines,Asia,362,40.9,50.6,71.1,42.7,3.2,2.4,1.2,5.7,66.4,80.8,68.9,1376,29.025,"54,405",10.7,0%,57:43:00,27.4,17.9,39,28.9,38.6,2026
university of turku,finland,Europe,366,40.6,36.3,20.2,63.2,39.6,46.2,8.9,14.7,89.2,46.1,74.4,344,52.018,"13,966",15.4,7%,64:36:00,34.2,35.6,83.4,66,52.6,2026
rudn university,russian federation,Europe,367,40.5,28.4,61.2,94,3.9,10.9,95.3,95.6,88.3,14.3,58.9,825,38.509,"27,303",17.8,34%,59:41:00,39.9,27.8,40.2,36.6,68.7,2026
universiti brunei darussalam,brunei darussalam,Asia,367,40.5,29.9,20.5,94.2,22.5,100,43.5,42.1,53,58.2,52.4,374,50.641,"3,464",11.8,11%,64:36:00,33.1,34.7,80.5,31.4,72.1,2026
pontificia universidad javeriana,colombia,Americas,371,40.3,60.5,61.8,37.8,2.7,3.8,3.7,8.5,38.7,83.1,58.6,1722,23.7355,"29,088",14.2,1%,56:44:00,21.1,13,31.8,24.4,43,2026
oxford brookes university,united kingdom,Europe,374,40,38.7,62.3,14.8,12.4,80.8,89.8,90.7,61.8,26,59.8,819,38.636,"13,930",13.6,30%,56:44:00,26.9,23.1,53.9,30.6,88.1,2026
university of saskatchewan,canada,Americas,378,39.6,16,10.2,21.1,71.9,82.4,65.4,68.7,77.3,44.3,83.6,397,49.9565,"18,283",19.2,22%,55:45:00,39.5,34,63,96.1,76,2026
university of naples federico ii,italy,Europe,379,39.5,47.8,32.8,6.8,59.5,2.9,1.2,1.2,94.9,12.5,57.5,348,51.732,"53,650",17.5,3%,57:43:00,40,31.8,83.9,72.5,35.2,2026
american university in cairo,egypt,Africa,381,39.4,40.8,46.9,39,12.2,98,7.1,11.7,46.8,88.6,51.6,795,39.249,"6,233",10.4,8%,58:42:00,30.1,25.9,53.7,33.9,71.9,2026
university of east anglia,united kingdom,Europe,381,39.4,24.7,15,24,55.5,81.9,49.3,54,86.8,31.8,91.1,290,54.752,"16,240",13.2,26%,57:43:00,34.7,30.2,89.1,62,87.3,2026
university of luxembourg,luxembourg,Europe,381,39.4,13.2,8.2,87.2,39.5,100,100,100,68.1,58.8,42.4,265,55.797,"5,718",20,52%,53:47:00,39.9,39.3,75.1,79.8,92.1,2026
brunel university of london,united kingdom,Europe,385,39.1,17.6,25.2,12.2,51.8,99.5,100,100,76.7,28.8,80.4,414,49.2875,"15,410",18,53%,44:56:00,24,26.6,81.8,64.9,98.1,2026
flinders university,australia,Oceania,387,39,19.6,9.7,11.3,64.3,97.9,97.3,97.4,77.3,15.5,81.6,320,53.172,"16,021",29.9,40%,63:37:00,27.9,36.9,82.9,68.7,88.3,2026
national and kapodistrian university of athens,greece,Europe,390,38.4,34.9,38.9,3,45.1,12.7,27.2,32.7,79.7,88.9,64.3,502,46.2475,"66,736",34.1,12%,60:40:00,24.4,26.8,78,92.5,55.7,2026
abu dhabi university,united arab emirates,Asia,391,38.3,24.6,49.8,23.9,35.9,100,99.9,99.9,34.5,10.1,49.6,233,57.171,"2,344",10.7,60%,50:50:00,38,33.9,92,29.5,98,2026
universitat politècnica de catalunya,spain,Europe,392,38.2,40.8,32.8,42.5,27,16.7,31,36.9,84,35.7,77,670,41.9125,"24,055",10.3,13%,30 : 70,34.2,22.6,58.7,75.8,61.7,2026
aston university,united kingdom,Europe,395,38.1,18.1,27.1,12,56.7,97.9,63.4,67,81.8,28.3,67.6,427,48.841,"15,710",20.9,35%,47:53:00,21.7,26.2,83.6,64.6,95.7,2026
university of kent,united kingdom,Europe,397,37.7,20.2,13.8,16.2,58.3,96.4,49.2,54,88,44,65.5,438,48.4195,"15,680",17,28%,54:46:00,29.5,28.4,73.2,64.4,92.6,2026
ipb university,indonesia,Asia,399,37.6,35.1,56,82.9,3,73.7,6,10.8,26.2,45.3,63.2,1524,26.9045,"22,993",10.3,5%,58:42:00,32.8,12.3,27.5,51.1,44.9,2026
western sydney university,australia,Oceania,400,37.5,26.3,22.5,7.4,44.5,100,67.7,70.9,87.3,11.8,82.6,306,54.0185,"32,737",36.4,26%,59:41:00,30.6,31.8,88,68.3,88.5,2026
umeå university,sweden,Europe,401,37.4,27.2,20.2,80.7,25,77.2,37.5,28,76.9,11.9,77.1,405,49.6945,"13,447",9.4,8%,62:38:00,30,33.1,80.2,63.2,62.1,2026
university of granada,spain,Europe,401,37.4,59.3,24.3,11.2,26.3,9.9,31.7,37.6,96.4,13.1,58.4,642,42.5495,"51,046",14.3,11%,61:39:00,31.3,29.7,60.9,60.7,53.4,2026
university of limerick,ireland,Europe,401,37.4,27.9,36.6,23.6,34.5,93.2,48.4,53.3,71.6,14.7,75.9,537,45.53,"14,691",27.1,18%,52:48:00,28.6,34.6,61.7,73.1,75,2026
university of florence,italy,Europe,404,37.2,45.1,16.9,7,49.7,11.2,20.8,26.9,86.1,36.9,72.9,355,51.4235,"42,558",22.9,9%,60:40:00,37.6,37.9,75.9,76.7,46.7,2026
lincoln university,new zealand,Oceania,407,37,13.3,10.7,32.4,62.6,100,99.6,99.1,25.4,45.1,62,603,43.6335,"3,123",15,42%,55:45:00,29.1,25.6,62.2,53.5,91,2026
university of turin,italy,Europe,408,36.9,48.1,14.3,5.1,42.5,5.2,10.1,16,90,61.4,78.7,468,47.212,"60,028",25.4,6%,62:38:00,24.3,31.9,81.7,74,44.3,2026
università cattolica del sacro cuore,italy,Europe,409,36.8,33.1,43.1,28.7,40.3,17.1,13.9,19.9,72.4,42.7,62,298,54.315,"23,548",32.3,6%,66:34:00,37.4,32.9,89.6,81.9,47.8,2026
auckland university of technology,new zealand,Oceania,410,36.7,29.6,22.5,13.7,33.2,100,100,100,50.4,23.4,74,587,44.1985,"17,420",17,49%,59:41:00,22.6,22.8,73.6,49.8,91.3,2026
dublin city university,ireland,Europe,410,36.7,29.2,37.5,27.8,22,80.8,43.2,48.4,78,40.2,79.7,310,53.694,"14,712",27.3,13%,58:42:00,28.5,36.6,88.6,69,71.1,2026
sunway university,malaysia,Asia,410,36.7,20.9,53.3,56.9,25.2,57.1,66.9,68.7,61.4,5.1,61.2,307,54.0055,"5,046",8.4,27%,53:47:00,27.2,34.2,90.1,58.4,89.3,2026
university of southern queensland,australia,Oceania,410,36.7,11,8.2,7.9,90.1,78.5,48.7,52,82.2,11,65.5,373,50.71,"10,582",21.5,19%,63:37:00,29.3,26.8,87.1,51.3,81.5,2026
czech technical university in prague,czechia,Europe,416,36.5,26.8,51.3,89.4,6.2,28.7,56,60.2,69.4,23.1,53.6,1262,31.0455,"15,476",8.2,21%,31 : 69,30.9,17.8,32.6,63.7,59.2,2026
university of aveiro,portugal,Europe,419,36.4,18.6,15.5,13.1,94.7,5.2,24.8,30.9,85.5,3.3,64.7,741,40.2815,"14,095",15.9,11%,54:46:00,31.6,31.5,53.8,55.3,46.3,2026
national taipei university of technology,taiwan,Asia,420,36.3,18.2,57.6,28.6,58.8,25.6,31.7,34.9,25.6,29.2,58.9,1251,31.2825,"10,608",12.4,5%,29 : 71,26.4,22.5,36.5,82.8,36.1,2026
murdoch university,australia,Oceania,423,36.1,13,8.7,7.4,73.9,89.6,82.5,61.4,75.1,24.9,53.4,406,49.657,"15,815",29.1,53%,Unknown,25.9,27.4,80.2,72.7,94.7,2026
tampere university,finland,Europe,423,36.1,29.2,24.7,24.8,47.7,61.6,13.9,19.6,84,42.1,49.2,346,51.93,"17,284",19.2,10%,53:47:00,31.2,38.7,80.2,85.2,53.8,2026
graz university of technology,austria,Europe,427,36,21.9,22.1,99.2,18.8,86.6,71.3,53.1,52.3,15.2,42.6,633,42.6605,"6,734",8.7,26%,27 : 73,41.9,22.7,46.5,95.3,79.4,2026
university of dundee,united kingdom,Europe,428,35.9,25.5,21.3,44.8,20.6,92,84.4,85.8,78.7,13.9,78.6,325,52.849,"15,420",19.4,36%,65:35:00,28.5,32.6,82.1,87,91.7,2026
masaryk university,czechia,Europe,430,35.7,32.3,37.3,13.1,18.8,34.5,76.8,79,79.8,58.8,77,697,41.499,"33,661",18.2,25%,62:38:00,26.8,32.6,57.1,51.1,66.2,2026
national taiwan normal university,taiwan,Asia,435,35.4,47.8,28.2,68.3,9.6,19.7,39.6,42.6,24.1,29,68.2,570,44.5895,"11,067",12.4,17%,Unknown,36.7,32.3,56.2,86.4,54.4,2026
prince mohammad bin fahd university,saudi arabia,Asia,436,35.2,22.5,33.6,33.1,54.7,100,29.6,22.2,32.3,3.3,37.4,352,51.6155,"2,470",10.8,17%,47:53:00,32,33.3,78.5,56.4,89.5,2026
universitat ramon llull,spain,Europe,436,35.2,17.5,72.5,10.3,15.5,80.4,68,71.1,31.3,81.2,56.7,900,37.1875,"16,683",22,24%,53:47:00,20.8,17.6,63.2,36.5,73.7,2026
national sun yat sen university,taiwan,Asia,439,35,36.8,32.1,35.6,38,35.5,16.5,22.2,46.4,14.7,67,776,39.614,"8,876",12.3,9%,43:57:00,31.5,35.1,43.6,89,46.7,2026
ajman university,united arab emirates,Asia,440,34.9,27.8,51.3,15.7,10.2,100,100,99.7,65.2,12.8,46.2,411,49.5085,"4,626",15.2,81%,57:43:00,25.8,28.7,84,22.8,99.5,2026
james cook university,australia,Oceania,440,34.9,21,11,27.5,60.3,46.9,37.6,43.2,83.8,11.2,81.9,357,51.2615,"9,165",15.3,14%,66:34:00,28.8,31.9,82.3,67.8,81.5,2026
vilnius university,lithuania,Europe,446,34.8,26.9,28,73.1,6.2,28.4,28.5,34.5,80.2,91.3,70.3,868,37.738,"19,929",11.7,12%,65:35:00,26.8,26.5,53.6,58.3,49.8,2026
belarusian state university,belarus,Europe,447,34.6,32.5,51.5,91.8,1.7,4.9,71.1,67.5,34.4,61.3,48.7,1880,20.5105,"23,445",8.3,22%,58:42:00,24.7,11.1,10.9,45,65.8,2026
kazan federal university,russian federation,Europe,450,34.3,27.2,19.5,98.1,3.8,14,97.7,97.8,86.7,19.6,55.3,989,35.684,"22,575",11.1,33%,66:34:00,46.6,22.1,27.7,52.2,68.4,2026
university of cyprus,cyprus,Asia,452,34.2,14.6,10.8,10.3,62.3,94.3,42.2,46.1,69.8,54.6,52.9,493,46.554,"6,983",19.9,14%,62:38:00,28.9,30.7,69.2,70.2,74.1,2026
university of essex,united kingdom,Europe,456,34.1,23.7,9.9,17.1,35.1,99.9,99.2,99.2,77,24.7,54.5,350,51.683,"16,005",14.8,48%,55:45:00,30.1,30.2,81,61.2,97.3,2026
jordan university of science and technology,jordan,Asia,461,33.9,32,47.8,23.1,12.3,66.7,87.9,83.8,54.6,5.8,52.1,824,38.5285,"17,708",12,28%,48:52:00,22.9,16,64.8,47.2,77.4,2026
novosibirsk state university,russian federation,Europe,461,33.9,28.8,31.1,93.6,13,9.1,70.6,69.5,55.7,13.3,43.8,1136,33.0895,"7,300",6.6,23%,Unknown,38.4,29.6,24,57,49.3,2026
royal holloway university of london,united kingdom,Europe,461,33.9,22.8,11.8,15.1,41,96.3,88.9,89.9,73,12.3,61.7,420,49.111,"12,155",15.9,33%,57:43:00,32.3,28.9,72.2,65.1,92.5,2026
anna university,india,Asia,465,33.8,15,19.4,9.2,99.8,20.1,1.6,6,47.3,17.8,64.5,984,35.773,"11,396",12.1,1%,41:59:00,39.2,16.2,51.8,59.9,21,2026
concordia university,canada,Americas,465,33.8,21.7,18,5.2,32,64,94.4,94.8,75.6,58.4,81.8,659,42.142,"36,811",25.5,35%,49:51:00,24.5,25.8,63.7,68,74.7,2026
ben gurion university of the negev,israel,Asia,469,33.7,19.5,26.9,15,58.7,71.2,23.8,17.9,63.4,24.5,48.8,738,40.3075,"16,196",12,2%,52:48:00,35.5,25.3,57.3,65.2,36,2026
università della svizzera italiana,switzerland,Europe,473,33.5,9.3,9.4,70.3,43.4,100,100,100,42.7,2.2,48.2,262,55.9085,"4,029",12.1,70%,46:54:00,41.1,29.7,80.3,92.9,98.2,2026
hiroshima university,japan,Asia,480,33.2,34.6,17.1,79.8,17.2,19.2,22.7,17.1,70.3,12.4,73.2,638,42.622,"14,922",8.7,12%,38 : 62,41.7,31.4,47.8,79.8,49.1,2026
kobe university,japan,Asia,482,33,36.9,39,45,19.4,11.2,10.7,15.9,53.3,27,73.3,728,40.556,"15,355",9.8,7%,35 : 65,41.5,28.9,45,89,38.3,2026
aristotle university of thessaloniki,greece,Europe,485,32.9,38.2,35.9,6.4,28.4,2.1,8.1,13.8,90.9,48.3,66.4,936,36.6215,"47,845",18.9,5%,58:42:00,22.7,19.4,63.4,62.6,37,2026
university of trento,italy,Europe,485,32.9,34.8,18.6,32.9,40,32.3,11.3,17.2,85.6,7.1,51.8,360,51.0595,"14,183",16.6,9%,53:47:00,34.6,35.2,77.4,70.3,61.5,2026
edith cowan university,australia,Oceania,487,32.8,13.7,13.1,6,60.4,96.4,82.4,84,63.8,7.4,51,381,50.3385,"18,928",27.9,35%,62:38:00,22.5,25.8,89.2,69.6,89,2026
warsaw university of technology,poland,Europe,487,32.8,28.4,72.4,55.7,9.5,3.4,17.6,23.7,63.8,15.9,38.4,1427,28.338,"21,694",10.3,8%,31 : 69,28.3,17.7,32.9,61.1,33.9,2026
imam abdulrahman bin faisal university,saudi arabia,Asia,491,32.6,16.9,31.4,94.9,5.6,99.2,34.8,35.4,73.9,2.9,55.3,562,44.8695,"25,111",11,5%,89:11:00,33.4,19.5,75.4,26.6,75.7,2026
universiti utara malaysia,malaysia,Asia,491,32.6,31.2,39.2,48,12.7,25.6,86.9,84,42.4,16.4,49.5,447,48.104,"11,413",11.1,33%,65:35:00,41.1,30.2,66.2,30.1,82.1,2026
university of canberra,australia,Oceania,494,32.5,18.2,11.9,3.4,50.8,82.8,83.1,84.6,66.7,10.9,73.2,442,48.334,"10,723",27.2,44%,57:43:00,25.7,31,76,57,89.1,2026
university of jyväskylä,finland,Europe,498,32.3,23.4,13.7,87.8,20.8,51.1,6.3,11.8,84.3,13.9,70.6,444,48.1555,"11,150",13.1,4%,64:36:00,31.9,34.4,77.2,49.1,48.6,2026
