university_name,country,year,ranking_source,rank,score
Universidad de Palermo,Argentina,2026,QS,771-780,-
University of Calcutta,India,2026,QS,771-780,-
University of Maynooth,Ireland,2026,QS,771-780,-
Alexandria University,Egypt,2026,QS,781-790,-
Carleton University,Canada,2026,QS,781-790,-
Georgia State University,United States of America,2026,QS,781-790,-
Hong Kong Metropolitan University,"Hong Kong SAR, China",2026,QS,781-790,-
Kuwait University,Kuwait,2026,QS,781-790,-
Technological University of Dublin,Ireland,2026,QS,781-790,-
Universidad de Alicante,Spain,2026,QS,781-790,-
Universidad de Antioquia,Colombia,2026,QS,781-790,-
Universidad del Rosario,Colombia,2026,QS,781-790,-
"Universidade Católica Portuguesa, UCP",Portugal,2026,QS,781-790,-
University of Kentucky,United States of America,2026,QS,781-790,-
University of Mons,Belgium,2026,QS,781-790,-
V.N. Karazin Kharkiv National University,Ukraine,2026,QS,781-790,-
Wayne State University,United States of America,2026,QS,781-790,-
Applied Science Private University - Jordan,Jordan,2026,QS,791-800,-
Beijing University of Technology,China (Mainland),2026,QS,791-800,-
Chiba University,Japan,2026,QS,791-800,-
Lanzhou University,China (Mainland),2026,QS,791-800,-
Norwegian University of Life Sciences (UMB),Norway,2026,QS,791-800,-
Pontificia Universidad Católica de Valparaíso,Chile,2026,QS,791-800,-
Universiti Tunku Abdul Rahman (UTAR),Malaysia,2026,QS,791-800,-
Wake Forest University,United States of America,2026,QS,791-800,-
AGH University of Krakow,Poland,2026,QS,801-850,-
Ahlia University,Bahrain,2026,QS,801-850,-
Alfaisal University,Saudi Arabia,2026,QS,801-850,-
Azerbaijan State University of Economics,Azerbaijan,2026,QS,801-850,-
Bournemouth University,United Kingdom,2026,QS,801-850,-
De Montfort University,United Kingdom,2026,QS,801-850,-
Donghua University,China (Mainland),2026,QS,801-850,-
Gdansk University of Technology,Poland,2026,QS,801-850,-
German Jordanian University,Jordan,2026,QS,801-850,-
IIT Gandhinagar,India,2026,QS,801-850,-
Instituto Tecnológico Autonomo de México (ITAM),Mexico,2026,QS,801-850,-
Keele University,United Kingdom,2026,QS,801-850,-
Middlesex University,United Kingdom,2026,QS,801-850,-
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,2026,QS,801-850,-
Northwest Agriculture and Forestry University,China (Mainland),2026,QS,801-850,-
Ocean University of China,China (Mainland),2026,QS,801-850,-
Perugia University,Italy,2026,QS,801-850,-
Politecnico di Bari,Italy,2026,QS,801-850,-
Qassim University,Saudi Arabia,2026,QS,801-850,-
Soochow University,China (Mainland),2026,QS,801-850,-
"The New School, New York City and Paris",United States of America,2026,QS,801-850,-
Tokyo University of Science (RIKADAI),Japan,2026,QS,801-850,-
Universidad de la Habana,Cuba,2026,QS,801-850,-
Universidad de Montevideo,Uruguay,2026,QS,801-850,-
Universidad de San Francisco de Quito,Ecuador,2026,QS,801-850,-
Universidade de Brasilia (UnB),Brazil,2026,QS,801-850,-
Universidade Federal de Santa Catarina,Brazil,2026,QS,801-850,-
Universidade Federal de São Paulo (UNIFESP),Brazil,2026,QS,801-850,-
Universita' degli studi di Salerno,Italy,2026,QS,801-850,-
Universita' Politecnica delle Marche - UNIVPM,Italy,2026,QS,801-850,-
Università  degli Studi di Palermo,Italy,2026,QS,801-850,-
Universität Duisburg-Essen,Germany,2026,QS,801-850,-
Universiti Malaysia Terengganu (UMT),Malaysia,2026,QS,801-850,-
University of Bari,Italy,2026,QS,801-850,-
University of Brighton,United Kingdom,2026,QS,801-850,-
University of Engineering & Technology (UET) Lahore,Pakistan,2026,QS,801-850,-
University of Greenwich,United Kingdom,2026,QS,801-850,-
University of Hyderabad,India,2026,QS,801-850,-
University of Latvia,Latvia,2026,QS,801-850,-
University of Lincoln,United Kingdom,2026,QS,801-850,-
"University of Maryland, Baltimore",United States of America,2026,QS,801-850,-
"University of Maryland, Baltimore County",United States of America,2026,QS,801-850,-
University of Modena and Reggio Emilia,Italy,2026,QS,801-850,-
University of Namur,Belgium,2026,QS,801-850,-
University of Ulsan,Republic of Korea,2026,QS,801-850,-
University of Westminster,United Kingdom,2026,QS,801-850,-
University of Wroclaw,Poland,2026,QS,801-850,-
Vietnam National University - Ho Chi Minh City (VNU-HCM),Viet Nam,2026,QS,801-850,-
Zurich University of Applied Sciences (ZHAW),Switzerland,2026,QS,801-850,-
Addis Ababa University,Ethiopia,2026,QS,851-900,-
Altai State University,Russian Federation,2026,QS,851-900,-
Auburn University,United States of America,2026,QS,851-900,-
Australian Catholic University,Australia,2026,QS,851-900,-
Azerbaijan State Oil and Industry University,Azerbaijan,2026,QS,851-900,-
Azerbaijan Technical University,Azerbaijan,2026,QS,851-900,-
Beijing Jiaotong University,China (Mainland),2026,QS,851-900,-
Belarusian National Technical University,Belarus,2026,QS,851-900,-
BINUS UNIVERSITY (Bina Nusantara University),Indonesia,2026,QS,851-900,-
Catania University,Italy,2026,QS,851-900,-
China University of Geosciences,China (Mainland),2026,QS,851-900,-
Chungnam National University,Republic of Korea,2026,QS,851-900,-
Dhofar University,Oman,2026,QS,851-900,-
Edinburgh Napier University,United Kingdom,2026,QS,851-900,-
Effat University,Saudi Arabia,2026,QS,851-900,-
European University of Lefke (EUL),Northern Cyprus,2026,QS,851-900,-
I.M. Sechenov First Moscow State Medical University,Russian Federation,2026,QS,851-900,-
Imam Muhammad Ibn Saud Islamic University - IMSIU,Saudi Arabia,2026,QS,851-900,-
Instituto Politécnico Nacional (IPN),Mexico,2026,QS,851-900,-
Jiangnan University,China (Mainland),2026,QS,851-900,-
Liverpool John Moores University,United Kingdom,2026,QS,851-900,-
Louisiana State University,United States of America,2026,QS,851-900,-
Manipal Academy of Higher Education - Manipal University (MAHE),India,2026,QS,851-900,-
Mendel University in Brno,Czechia,2026,QS,851-900,-
Multimedia University (MMU),Malaysia,2026,QS,851-900,-
Nantes University,France,2026,QS,851-900,-
O. P. Jindal Global University (JGU),India,2026,QS,851-900,-
Oklahoma State University,United States of America,2026,QS,851-900,-
Prince of Songkla University,Thailand,2026,QS,851-900,-
Tokyo University of Agriculture and Technology,Japan,2026,QS,851-900,-
Universidad Anahuac,Mexico,2026,QS,851-900,-
Universidad Nacional de Córdoba,Argentina,2026,QS,851-900,-
Universidade de Vigo,Spain,2026,QS,851-900,-
Universita' degli Studi della Tuscia,Italy,2026,QS,851-900,-
Universität Düsseldorf,Germany,2026,QS,851-900,-
Universität Rostock,Germany,2026,QS,851-900,-
Université de Franche-Comté,France,2026,QS,851-900,-
Université du Québec,Canada,2026,QS,851-900,-
Universiti Pendidikan Sultan Idris (UPSI),Malaysia,2026,QS,851-900,-
"University of Colorado, Denver",United States of America,2026,QS,851-900,-
University of Dubai,United Arab Emirates,2026,QS,851-900,-
University of Gdansk,Poland,2026,QS,851-900,-
University of Ghana,Ghana,2026,QS,851-900,-
University of Santo Tomas,Philippines,2026,QS,851-900,-
University of Seoul,Republic of Korea,2026,QS,851-900,-
University of Stavanger,Norway,2026,QS,851-900,-
Verona University,Italy,2026,QS,851-900,-
Vilnius Gediminas Technical University,Lithuania,2026,QS,851-900,-
Worcester Polytechnic Institute,United States of America,2026,QS,851-900,-
Wroclaw University of Science and Technology (WUST),Poland,2026,QS,851-900,-
Yarmouk University,Jordan,2026,QS,851-900,-
Al Jouf University,Saudi Arabia,2026,QS,901-950,-
American University of Central Asia,Kyrgyzstan,2026,QS,901-950,-
Baku Engineering University,Azerbaijan,2026,QS,901-950,-
Chonnam National University,Republic of Korea,2026,QS,901-950,-
Colegio de México,Mexico,2026,QS,901-950,-
Future University in Egypt,Egypt,2026,QS,901-950,-
Gazi Üniversitesi,Türkiye,2026,QS,901-950,-
Gulf University for Science and Technology (GUST),Kuwait,2026,QS,901-950,-
Huazhong Agricultural University,China (Mainland),2026,QS,901-950,-
Kanazawa University,Japan,2026,QS,901-950,-
Kansas State University,United States of America,2026,QS,901-950,-
Karaganda Buketov University,Kazakhstan,2026,QS,901-950,-
Khon Kaen University,Thailand,2026,QS,901-950,-
King Mongkut's University of Technology Thonburi,Thailand,2026,QS,901-950,-
London South Bank University,United Kingdom,2026,QS,901-950,-
Lovely Professional University (LPU),India,2026,QS,901-950,-
Macao Polytechnic University,"Macao SAR, China",2026,QS,901-950,-
Michigan Technological University,United States of America,2026,QS,901-950,-
Nagasaki University,Japan,2026,QS,901-950,-
Osaka Metropolitan University,Japan,2026,QS,901-950,-
Panjab University,India,2026,QS,901-950,-
Princess Sumaya University for Technology,Jordan,2026,QS,901-950,-
Saveetha Institute of Medical And Technical Sciences (SIMATS),India,2026,QS,901-950,-
Taif University,Saudi Arabia,2026,QS,901-950,-
Tallinn University,Estonia,2026,QS,901-950,-
Tashkent State Technical University,Uzbekistan,2026,QS,901-950,-
Universidad Católica Andrés Bello - UCAB,Venezuela (Bolivarian Republic of),2026,QS,901-950,-
Universidad Católica del Uruguay (UCU),Uruguay,2026,QS,901-950,-
Universidad de los Andes Chile,Chile,2026,QS,901-950,-
Universidad de Oviedo,Spain,2026,QS,901-950,-
Universidad de Valladolid,Spain,2026,QS,901-950,-
Universidad Europea de Madrid,Spain,2026,QS,901-950,-
Universidad Iberoamericana (UIA),Mexico,2026,QS,901-950,-
Università degli Studi Roma Tre,Italy,2026,QS,901-950,-
Université de Sherbrooke,Canada,2026,QS,901-950,-
University at Albany SUNY,United States of America,2026,QS,901-950,-
University of Alabama,United States of America,2026,QS,901-950,-
University of Alaska Fairbanks,United States of America,2026,QS,901-950,-
University of Hertfordshire,United Kingdom,2026,QS,901-950,-
University of Maribor,Slovenia,2026,QS,901-950,-
University of North Texas,United States of America,2026,QS,901-950,-
University of Peshawar,Pakistan,2026,QS,901-950,-
University of Petroleum and Energy Studies (UPES),India,2026,QS,901-950,-
University of Salford,United Kingdom,2026,QS,901-950,-
University of South Africa,South Africa,2026,QS,901-950,-
Virginia Commonwealth University,United States of America,2026,QS,901-950,-
Yeungnam University,Republic of Korea,2026,QS,901-950,-
Abylkas Saginov Karaganda Technical University,Kazakhstan,2026,QS,951-1000,-
Al Nahrain University,Iraq,2026,QS,951-1000,-
Al-Quds University,Palestine,2026,QS,951-1000,-
Amity University,India,2026,QS,951-1000,-
Athens University of Economics And Business,Greece,2026,QS,951-1000,-
Charles Sturt University,Australia,2026,QS,951-1000,-
Clarkson University,United States of America,2026,QS,951-1000,-
Clemson University,United States of America,2026,QS,951-1000,-
CY Cergy Paris University,France,2026,QS,951-1000,-
Escuela Superior Politécnica del Litoral - ESPOL,Ecuador,2026,QS,951-1000,-
Ferdowsi University of Mashhad,Iran (Islamic Republic of),2026,QS,951-1000,-
George Mason University,United States of America,2026,QS,951-1000,-
Guru Gobind Singh Indraprastha University,India,2026,QS,951-1000,-
Hasanuddin University,Indonesia,2026,QS,951-1000,-
Immanuel Kant Baltic Federal University,Russian Federation,2026,QS,951-1000,-
Indian Institute of Technology Bhubaneswar (IIT BBS),India,2026,QS,951-1000,-
Ivane Javakhishvili Tbilisi State University,Georgia,2026,QS,951-1000,-
Khazar University,Azerbaijan,2026,QS,951-1000,-
Kumamoto University,Japan,2026,QS,951-1000,-
Kyrgyz-Turkish Manas University,Kyrgyzstan,2026,QS,951-1000,-
Lodz University,Poland,2026,QS,951-1000,-
Nanjing Agricultural University,China (Mainland),2026,QS,951-1000,-
Nanjing Normal University,China (Mainland),2026,QS,951-1000,-
National Chung Cheng University,Taiwan,2026,QS,951-1000,-
North South University,Bangladesh,2026,QS,951-1000,-
North-West University,South Africa,2026,QS,951-1000,-
Okayama University,Japan,2026,QS,951-1000,-
Rochester Institute of Technology (RIT),United States of America,2026,QS,951-1000,-
Saint Louis University,United States of America,2026,QS,951-1000,-
Sohar University,Oman,2026,QS,951-1000,-
Sophia University,Japan,2026,QS,951-1000,-
South Ural State University,Russian Federation,2026,QS,951-1000,-
The Robert Gordon University,United Kingdom,2026,QS,951-1000,-
Universidad Autónoma Metropolitana (UAM),Mexico,2026,QS,951-1000,-
Universidad de Belgrano,Argentina,2026,QS,951-1000,-
Universidad de Córdoba - España,Spain,2026,QS,951-1000,-
Universidad de La Sabana,Colombia,2026,QS,951-1000,-
Universidad EAFIT,Colombia,2026,QS,951-1000,-
Universidad Espíritu Santo (UEES),Ecuador,2026,QS,951-1000,-
Universidad Externado de Colombia,Colombia,2026,QS,951-1000,-
Universidad Nacional Mayor de San Marcos,Peru,2026,QS,951-1000,-
Universidad Torcuato Di Tella,Argentina,2026,QS,951-1000,-
Universita' degli Studi di Ferrara,Italy,2026,QS,951-1000,-
Università della Calabria,Italy,2026,QS,951-1000,-
University of Bahrain,Bahrain,2026,QS,951-1000,-
University of Cyberjaya,Malaysia,2026,QS,951-1000,-
University of Ha'il,Saudi Arabia,2026,QS,951-1000,-
University of Lahore,Pakistan,2026,QS,951-1000,-
University of Massachusetts - Boston,United States of America,2026,QS,951-1000,-
University of the Western Cape,South Africa,2026,QS,951-1000,-
Wuhan University of Technology,China (Mainland),2026,QS,951-1000,-
Adamson University,Philippines,2026,QS,1001-1200,-
Aga Khan University,Pakistan,2026,QS,1001-1200,-
Al Azhar University,Egypt,2026,QS,1001-1200,-
Alexandru Ioan Cuza University,Romania,2026,QS,1001-1200,-
"Aligarh Muslim University (AMU), Aligarh",India,2026,QS,1001-1200,-
Almaty Technological University,Kazakhstan,2026,QS,1001-1200,-
Amrita Vishwa Vidyapeetham,India,2026,QS,1001-1200,-
An-Najah National University,Palestine,2026,QS,1001-1200,-
"Arab Academy for Science, Technology and Maritime Transport",Egypt,2026,QS,1001-1200,-
Asfendiyarov Kazakh National Medical University,Kazakhstan,2026,QS,1001-1200,-
Assiut University,Egypt,2026,QS,1001-1200,-
Azerbaijan University of Architecture and Construction,Azerbaijan,2026,QS,1001-1200,-
Banaras Hindu University,India,2026,QS,1001-1200,-
Baylor University,United States of America,2026,QS,1001-1200,-
Beijing University of Posts and Telecommunications,China (Mainland),2026,QS,1001-1200,-
Binghamton University SUNY,United States of America,2026,QS,1001-1200,-
Birmingham City University,United Kingdom,2026,QS,1001-1200,-
Brigham Young University,United States of America,2026,QS,1001-1200,-
CEU University,Spain,2026,QS,1001-1200,-
Chung Yuan Christian University,Taiwan,2026,QS,1001-1200,-
Chungbuk National University,Republic of Korea,2026,QS,1001-1200,-
Clark University,United States of America,2026,QS,1001-1200,-
Cracow University of Technology of Tadeusz Kościuszko,Poland,2026,QS,1001-1200,-
D. Serikbayev East Kazakhstan Technical University,Kazakhstan,2026,QS,1001-1200,-
Daffodil International University,Bangladesh,2026,QS,1001-1200,-
Dankook University,Republic of Korea,2026,QS,1001-1200,-
Ege Üniversitesi,Türkiye,2026,QS,1001-1200,-
Financial University under the Government of the Russian Federation,Russian Federation,2026,QS,1001-1200,-
Florida Atlantic University - Boca Raton,United States of America,2026,QS,1001-1200,-
Fordham University,United States of America,2026,QS,1001-1200,-
Gebze Technical University,Türkiye,2026,QS,1001-1200,-
Georgian Technical University,Georgia,2026,QS,1001-1200,-
German University of Technology in Oman  (GUTECH),Oman,2026,QS,1001-1200,-
Gifu University,Japan,2026,QS,1001-1200,-
Glasgow Caledonian University,United Kingdom,2026,QS,1001-1200,-
Hallym University,Republic of Korea,2026,QS,1001-1200,-
Harbin Engineering University,China (Mainland),2026,QS,1001-1200,-
Hohai University,China (Mainland),2026,QS,1001-1200,-
Howard University,United States of America,2026,QS,1001-1200,-
Islamic University of Lebanon,Lebanon,2026,QS,1001-1200,-
IU Indianapolis,United States of America,2026,QS,1001-1200,-
Kalinga Institute of Industrial Technology,India,2026,QS,1001-1200,-
Kangwon National University,Republic of Korea,2026,QS,1001-1200,-
Kazakh-British Technical University,Kazakhstan,2026,QS,1001-1200,-
Kent State University,United States of America,2026,QS,1001-1200,-
Kookmin University,Republic of Korea,2026,QS,1001-1200,-
Kyrgyz Russian Slavic University,Kyrgyzstan,2026,QS,1001-1200,-
Kyushu Institute of Technology,Japan,2026,QS,1001-1200,-
Leeds Beckett University,United Kingdom,2026,QS,1001-1200,-
Lobachevsky State University of Nizhni Novgorod,Russian Federation,2026,QS,1001-1200,-
Lodz University of Technology,Poland,2026,QS,1001-1200,-
London Metropolitan University,United Kingdom,2026,QS,1001-1200,-
Loyola University Chicago,United States of America,2026,QS,1001-1200,-
Makerere University,Uganda,2026,QS,1001-1200,-
Mansoura University,Egypt,2026,QS,1001-1200,-
Marmara University,Türkiye,2026,QS,1001-1200,-
MATE Hungarian University of Agriculture and Life Sciences,Hungary,2026,QS,1001-1200,-
Middle East University Jordan,Jordan,2026,QS,1001-1200,-
Mississippi State University,United States of America,2026,QS,1001-1200,-
Mustansiriyah University,Iraq,2026,QS,1001-1200,-
Mutah University,Jordan,2026,QS,1001-1200,-
Mykolas Romeris University,Lithuania,2026,QS,1001-1200,-
Narxoz University,Kazakhstan,2026,QS,1001-1200,-
National Research Saratov State University,Russian Federation,2026,QS,1001-1200,-
"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,2026,QS,1001-1200,-
National University Lviv Polytechnic,Ukraine,2026,QS,1001-1200,-
Nicolaus Copernicus University,Poland,2026,QS,1001-1200,-
Niigata University,Japan,2026,QS,1001-1200,-
Northern Arizona University,United States of America,2026,QS,1001-1200,-
Northern Borders University,Saudi Arabia,2026,QS,1001-1200,-
Northwest University (China),China (Mainland),2026,QS,1001-1200,-
Notre Dame University-Louaize (NDU),Lebanon,2026,QS,1001-1200,-
Obuda University,Hungary,2026,QS,1001-1200,-
Ohio University,United States of America,2026,QS,1001-1200,-
Pavol Josef Safarik University,Slovakia,2026,QS,1001-1200,-
Pontificia Universidad Catolica del Ecuador,Ecuador,2026,QS,1001-1200,-
Pontificia Universidade Católica de São Paulo (PUC -SP),Brazil,2026,QS,1001-1200,-
Poznan University of Life Sciences,Poland,2026,QS,1001-1200,-
Poznan University of Technology,Poland,2026,QS,1001-1200,-
Rhodes University,South Africa,2026,QS,1001-1200,-
Riga Stradins University,Latvia,2026,QS,1001-1200,-
Ritsumeikan Asia Pacific University,Japan,2026,QS,1001-1200,-
Saint-Petersburg Mining University,Russian Federation,2026,QS,1001-1200,-
Samarkand State University,Uzbekistan,2026,QS,1001-1200,-
San Diego State University,United States of America,2026,QS,1001-1200,-
Sebelas Maret University,Indonesia,2026,QS,1001-1200,-
Seoul National University of Science and Technology,Republic of Korea,2026,QS,1001-1200,-
Sheffield Hallam University,United Kingdom,2026,QS,1001-1200,-
Siberian Federal University,Russian Federation,2026,QS,1001-1200,-
Silesian University of Technology in Gliwice,Poland,2026,QS,1001-1200,-
Slovak University of Technology in Bratislava,Slovakia,2026,QS,1001-1200,-
Soonchunhyang University,Republic of Korea,2026,QS,1001-1200,-
Southern Federal University,Russian Federation,2026,QS,1001-1200,-
Southern Methodist University,United States of America,2026,QS,1001-1200,-
Southwest University,China (Mainland),2026,QS,1001-1200,-
SRM Institute of Science and Technology (f.k.a SRM University),India,2026,QS,1001-1200,-
Sumgait State University,Azerbaijan,2026,QS,1001-1200,-
Sumy State University,Ukraine,2026,QS,1001-1200,-
Sungshin Women's University,Republic of Korea,2026,QS,1001-1200,-
Széchenyi István University,Hungary,2026,QS,1001-1200,-
Tashkent State University of Economics,Uzbekistan,2026,QS,1001-1200,-
Technical University of Kosice,Slovakia,2026,QS,1001-1200,-
Technical University of Ostrava,Czechia,2026,QS,1001-1200,-
Telkom University (aka Telkom Institute of Technology),Indonesia,2026,QS,1001-1200,-
The City College of New York,United States of America,2026,QS,1001-1200,-
"The Federal University of Sao Carlos, UFSCar",Brazil,2026,QS,1001-1200,-
The Hashemite University,Jordan,2026,QS,1001-1200,-
Tokyo Metropolitan University,Japan,2026,QS,1001-1200,-
Universidad Andrés Bello - UNAB,Chile,2026,QS,1001-1200,-
Universidad Argentina de la Empresa -UADE,Argentina,2026,QS,1001-1200,-
Universidad Austral de Chile,Chile,2026,QS,1001-1200,-
Universidad de Castilla-La Mancha,Spain,2026,QS,1001-1200,-
Universidad de Guadalajara (UDG),Mexico,2026,QS,1001-1200,-
Universidad de las Américas Puebla (UDLAP),Mexico,2026,QS,1001-1200,-
Universidad de León,Spain,2026,QS,1001-1200,-
Universidad de Puerto Rico,Puerto Rico,2026,QS,1001-1200,-
Universidad de San Andrés,Argentina,2026,QS,1001-1200,-
Universidad de Talca,Chile,2026,QS,1001-1200,-
Universidad del Valle,Colombia,2026,QS,1001-1200,-
Universidad Diego Portales,Chile,2026,QS,1001-1200,-
Universidad ICESI,Colombia,2026,QS,1001-1200,-
Universidad Nacional de Rosario,Argentina,2026,QS,1001-1200,-
Universidad ORT Uruguay,Uruguay,2026,QS,1001-1200,-
Universidad Peruana Cayetano Heredia,Peru,2026,QS,1001-1200,-
Universidad Pontificia Bolivariana,Colombia,2026,QS,1001-1200,-
Universidad Rey Juan Carlos,Spain,2026,QS,1001-1200,-
Universidad Simón Bolívar Venezuela,Venezuela (Bolivarian Republic of),2026,QS,1001-1200,-
Universidad Técnica Federico Santa María,Chile,2026,QS,1001-1200,-
Universidade da Coruña,Spain,2026,QS,1001-1200,-
Universidade Federal do Paraná (UFPR),Brazil,2026,QS,1001-1200,-
"Universita' degli Studi di Napoli ""Parthenope""",Italy,2026,QS,1001-1200,-
Università degli Studi di Udine,Italy,2026,QS,1001-1200,-
"Universita degli Studi ""G. D'Annunzio"" Chieti-Pescara",Italy,2026,QS,1001-1200,-
Universitas Sumatera Utara,Indonesia,2026,QS,1001-1200,-
Universität Bielefeld,Germany,2026,QS,1001-1200,-
Universitat de Lleida,Spain,2026,QS,1001-1200,-
Universitat Jaume I,Spain,2026,QS,1001-1200,-
Université de Bretagne Occidentale (UBO),France,2026,QS,1001-1200,-
Université de Sfax,Tunisia,2026,QS,1001-1200,-
Université Lumière Lyon 2,France,2026,QS,1001-1200,-
Université Paris 2 Panthéon-Assas,France,2026,QS,1001-1200,-
Université Sorbonne Paris Nord,France,2026,QS,1001-1200,-
"Université Toulouse 1, Capitole",France,2026,QS,1001-1200,-
Universiti Malaysia Perlis (UniMAP),Malaysia,2026,QS,1001-1200,-
Universiti Malaysia Sarawak (UNIMAS),Malaysia,2026,QS,1001-1200,-
Universiti Tun Hussein Onn University of Malaysia (UTHM),Malaysia,2026,QS,1001-1200,-
"University of Alabama, Birmingham",United States of America,2026,QS,1001-1200,-
University of Anbar,Iraq,2026,QS,1001-1200,-
University of Arkansas Fayetteville,United States of America,2026,QS,1001-1200,-
University of Balamand,Lebanon,2026,QS,1001-1200,-
University of Central Lancashire,United Kingdom,2026,QS,1001-1200,-
University of Colombo,Sri Lanka,2026,QS,1001-1200,-
University of Denver,United States of America,2026,QS,1001-1200,-
University of Deusto,Spain,2026,QS,1001-1200,-
University of East London,United Kingdom,2026,QS,1001-1200,-
University of Hradec Kralove,Czechia,2026,QS,1001-1200,-
University of Ibadan,Nigeria,2026,QS,1001-1200,-
University of Idaho,United States of America,2026,QS,1001-1200,-
University of Ioannina,Greece,2026,QS,1001-1200,-
University of Isfahan,Iran (Islamic Republic of),2026,QS,1001-1200,-
University of Karachi,Pakistan,2026,QS,1001-1200,-
University of Lagos,Nigeria,2026,QS,1001-1200,-
University of Louisville,United States of America,2026,QS,1001-1200,-
University of Malaysia Sabah (UMS),Malaysia,2026,QS,1001-1200,-
University of Mississippi,United States of America,2026,QS,1001-1200,-
"University of Missouri, Kansas City",United States of America,2026,QS,1001-1200,-
University of Murcia,Spain,2026,QS,1001-1200,-
University of Nairobi,Kenya,2026,QS,1001-1200,-
University of Nevada - Reno,United States of America,2026,QS,1001-1200,-
University of New England,Australia,2026,QS,1001-1200,-
University of New Hampshire,United States of America,2026,QS,1001-1200,-
University of North Carolina at Charlotte,United States of America,2026,QS,1001-1200,-
University of Parma,Italy,2026,QS,1001-1200,-
University of Regina,Canada,2026,QS,1001-1200,-
University of Rhode Island,United States of America,2026,QS,1001-1200,-
University of Salento,Italy,2026,QS,1001-1200,-
University of South Bohemia,Czechia,2026,QS,1001-1200,-
University of Tabuk,Saudi Arabia,2026,QS,1001-1200,-
University of Texas Arlington,United States of America,2026,QS,1001-1200,-
University of Texas at San Antonio,United States of America,2026,QS,1001-1200,-
University of the Algarve,Portugal,2026,QS,1001-1200,-
University of the Free State,South Africa,2026,QS,1001-1200,-
University of Toledo,United States of America,2026,QS,1001-1200,-
University of Tulsa,United States of America,2026,QS,1001-1200,-
University of Vermont,United States of America,2026,QS,1001-1200,-
University of Warmia and Mazury in Olsztyn,Poland,2026,QS,1001-1200,-
University of Wolverhampton,United Kingdom,2026,QS,1001-1200,-
University of Wyoming,United States of America,2026,QS,1001-1200,-
University of Zilina,Slovakia,2026,QS,1001-1200,-
Utah State University,United States of America,2026,QS,1001-1200,-
Van Lang University,Viet Nam,2026,QS,1001-1200,-
Warsaw University of Life Sciences,Poland,2026,QS,1001-1200,-
West Virginia University,United States of America,2026,QS,1001-1200,-
William & Mary,United States of America,2026,QS,1001-1200,-
Xi'an Jiaotong-Liverpool University,China (Mainland),2026,QS,1001-1200,-
Yerevan State University,Armenia,2026,QS,1001-1200,-
Yokohama City University,Japan,2026,QS,1001-1200,-
Yokohama National University,Japan,2026,QS,1001-1200,-
Yuan Ze University,Taiwan,2026,QS,1001-1200,-
ADA University,Azerbaijan,2026,QS,1201-1400,-
"Ahmadu Bello University, Zaria",Nigeria,2026,QS,1201-1400,-
Al Zaytoonah University,Jordan,2026,QS,1201-1400,-
Al-Balqa Applied University,Jordan,2026,QS,1201-1400,-
Amman Arab University,Jordan,2026,QS,1201-1400,-
Ashoka University,India,2026,QS,1201-1400,-
Ataturk University,Türkiye,2026,QS,1201-1400,-
Bahauddin Zakariya University,Pakistan,2026,QS,1201-1400,-
Beijing Foreign Studies University,China (Mainland),2026,QS,1201-1400,-
Beijing University of Chinese Medicine,China (Mainland),2026,QS,1201-1400,-
Benemérita Universidad Autónoma de Puebla,Mexico,2026,QS,1201-1400,-
Beni-Suef University,Egypt,2026,QS,1201-1400,-
Birzeit university,Palestine,2026,QS,1201-1400,-
BRAC University,Bangladesh,2026,QS,1201-1400,-
British University in Egypt,Egypt,2026,QS,1201-1400,-
Brock University,Canada,2026,QS,1201-1400,-
California Polytechnic State University,United States of America,2026,QS,1201-1400,-
Can Tho University,Viet Nam,2026,QS,1201-1400,-
Canterbury Christ Church University,United Kingdom,2026,QS,1201-1400,-
Chang Jung Christian University,Taiwan,2026,QS,1201-1400,-
China University of Political Science and Law,China (Mainland),2026,QS,1201-1400,-
Chitkara University,India,2026,QS,1201-1400,-
Cukurova University,Türkiye,2026,QS,1201-1400,-
Damascus University,Syrian Arab Republic,2026,QS,1201-1400,-
Delta University for Science & Technology,Egypt,2026,QS,1201-1400,-
Dokuz Eylül Üniversitesi,Türkiye,2026,QS,1201-1400,-
Doshisha University,Japan,2026,QS,1201-1400,-
Erciyes Üniversitesi,Türkiye,2026,QS,1201-1400,-
Feng Chia University,Taiwan,2026,QS,1201-1400,-
Fu Jen Catholic University,Taiwan,2026,QS,1201-1400,-
Galgotias University,India,2026,QS,1201-1400,-
German university in Cairo,Egypt,2026,QS,1201-1400,-
Gunma University,Japan,2026,QS,1201-1400,-
Hanoi University of Science and Technology,Viet Nam,2026,QS,1201-1400,-
Helwan University,Egypt,2026,QS,1201-1400,-
Industrial University of Ho Chi Minh City,Viet Nam,2026,QS,1201-1400,-
Institut Teknologi Nasional Bandung (ITENAS Bandung),Indonesia,2026,QS,1201-1400,-
Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,2026,QS,1201-1400,-
International Christian University,Japan,2026,QS,1201-1400,-
International Islamic University Islamabad (IIU),Pakistan,2026,QS,1201-1400,-
Islamic Azad University,Iran (Islamic Republic of),2026,QS,1201-1400,-
Islamic University of Madinah,Saudi Arabia,2026,QS,1201-1400,-
