University,Country,global_ranking_score,research_impact_score,faculty_to_student_ratio,international_student_percentage,academic_reputation_score,research_productivity_index
University of Guelph,Canada,71.78,57.7,0.04,11.0,19.9,57.2
Institut Teknologi Sepuluh Nopember (ITS),Indonesia,43.52,17.42,0.16,7.0,27.4,14.48
Ateneo de Manila University,Philippines,57.15,25.8,0.1,1.0,32.2,21.24
SOAS University of London,United Kingdom,70.82,34.03,0.07,41.0,24.7,31.96
University of Bradford,United Kingdom,68.7,52.08,0.05,47.0,14.0,49.72
Lebanese University,Lebanon,47.56,24.7,0.07,18.0,32.9,20.44
Universitas Padjadjaran (UNPAD),Indonesia,49.89,20.52,0.13,5.0,29.9,16.86
University of Stirling,United Kingdom,69.71,50.48,0.05,34.0,16.8,48.04
Kyungpook National University,Republic of Korea,68.25,43.72,0.06,17.0,18.0,40.9
University of Electronic Science and Technology of China,China (Mainland),73.85,75.2,0.06,2.0,5.8,80.14
Ural Federal University,Russian Federation,59.5,42.02,0.06,15.0,25.8,34.32
University of Huddersfield,United Kingdom,68.9,52.18,0.05,31.0,17.9,49.0
Boston College,United States of America,74.78,47.9,0.07,13.0,29.9,43.68
Chiang Mai University,Thailand,57.17,36.28,0.07,4.0,48.8,30.78
University of Hull,United Kingdom,69.18,50.98,0.05,35.0,13.2,48.16
University of Salamanca,Spain,60.17,42.7,0.07,16.0,36.9,36.52
University of Genoa,Italy,71.68,60.3,0.06,9.0,28.0,58.76
University of Iowa,United States of America,74.01,51.32,0.09,5.0,25.5,46.54
University of Connecticut,United States of America,71.89,55.15,0.09,14.0,20.8,50.82
King Khalid University,Saudi Arabia,73.99,50.75,0.14,15.0,25.8,42.0
Lebanese American University,Lebanon,74.78,53.8,0.08,13.0,20.2,45.18
Prince Sultan University,Saudi Arabia,71.97,61.6,0.06,8.0,10.6,61.66
University of Ljubljana,Slovenia,61.18,44.12,0.08,9.0,29.7,37.5
Jinan University (China),China (Mainland),68.54,56.55,0.07,28.0,8.6,60.3
University of Utah,United States of America,75.27,59.62,0.06,9.0,21.8,55.36
Ain Shams University,Egypt,59.87,40.55,0.07,7.0,35.6,33.14
University of the Punjab,Pakistan,59.9,43.95,0.05,1.0,22.5,40.04
University of Windsor,Canada,68.21,49.9,0.03,36.0,5.1,51.56
Florida State University,United States of America,72.59,55.47,0.04,7.0,32.7,51.2
Thammasat University,Thailand,46.35,26.1,0.07,1.0,36.7,21.66
Universiti Tenaga Nasional (UNITEN),Malaysia,64.87,44.73,0.1,20.0,9.5,42.6
Hitotsubashi University,Japan,49.87,16.27,0.07,14.0,19.7,13.82
University of Delaware,United States of America,69.96,58.28,0.07,11.0,12.5,59.44
Lahore University of Management Sciences (LUMS),Pakistan,57.79,30.08,0.07,2.0,21.4,27.36
Indian Institute of Technology Indore,India,67.0,54.48,0.08,0.0,8.0,62.96
University of Houston,United States of America,69.63,50.88,0.04,16.0,18.7,46.74
Al Ain University,United Arab Emirates,70.27,40.75,0.09,61.0,25.6,36.0
Coventry University,United Kingdom,64.35,46.92,0.07,58.0,16.0,40.5
Jawaharlal Nehru University,India,61.21,41.85,0.09,1.0,39.8,41.0
Sogang University,Republic of Korea,59.25,24.78,0.04,18.0,27.3,21.6
University of Kwazulu-Natal,South Africa,67.09,59.95,0.03,2.0,17.9,56.86
Ajou University,Republic of Korea,69.03,37.35,0.07,26.0,19.8,36.74
American University of the Middle East,Kuwait,65.8,41.88,0.09,15.0,25.9,35.28
University of Debrecen,Hungary,59.77,36.55,0.08,25.0,27.3,30.72
Bangor University,United Kingdom,68.16,53.85,0.06,31.0,12.8,51.96
Savitribai Phule Pune University,India,57.52,47.0,0.08,2.0,11.1,50.36
University of Minho,Portugal,64.57,53.22,0.05,13.0,22.2,50.3
Colorado School of Mines,United States of America,68.84,49.28,0.06,7.0,11.3,53.4
Brno University of Technology,Czechia,49.2,36.65,0.07,26.0,17.7,32.06
Universiti Teknologi Brunei,Brunei Darussalam,61.95,31.48,0.13,4.0,20.2,29.72
Florida International University,United States of America,68.01,51.38,0.05,9.0,22.7,44.6
University of Iceland,Iceland,67.27,49.53,0.06,13.0,9.6,43.22
Charles Darwin University,Australia,68.44,55.9,0.04,38.0,7.8,57.74
Eotvos Lorand University,Hungary,57.47,41.08,0.06,12.0,31.6,34.72
University of Dhaka,Bangladesh,57.75,38.62,0.05,0.0,30.5,32.28
American University,United States of America,61.65,31.1,0.08,11.0,19.8,26.4
National Central University,Taiwan,52.41,28.83,0.1,7.0,28.9,28.18
Bond University,Australia,68.31,46.9,0.1,32.0,5.9,48.28
Illinois Institute of Technology,United States of America,71.21,44.75,0.07,45.0,16.9,45.3
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russian Federation,62.78,26.4,0.1,28.0,10.3,23.36
Zayed University,United Arab Emirates,67.36,44.45,0.07,2.0,19.8,39.92
Hasselt University,Belgium,70.79,50.8,0.04,16.0,8.8,45.2
Taipei Medical University,Taiwan,69.11,38.2,0.11,11.0,16.9,37.02
Tulane University,United States of America,68.76,48.98,0.14,10.0,14.5,42.68
University of Szeged,Hungary,51.78,35.72,0.08,19.0,26.2,30.36
University of Texas at Dallas,United States of America,67.77,50.37,0.04,22.0,19.3,48.9
National Chengchi University,Taiwan,48.65,17.55,0.06,16.0,28.3,14.72
University of Eastern Finland,Finland,67.38,56.75,0.06,7.0,18.9,52.46
University of Siena,Italy,69.83,57.88,0.06,9.0,21.4,58.34
Nottingham Trent University,United Kingdom,64.23,48.22,0.07,25.0,16.4,40.72
Peter the Great St.Petersburg Polytechnic University,Russian Federation,56.1,34.08,0.1,32.0,18.0,28.24
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,63.31,50.6,0.08,10.0,17.2,52.06
University of Plymouth,United Kingdom,65.42,54.47,0.06,22.0,13.8,50.92
Umm Al-Qura University,Saudi Arabia,66.53,44.3,0.08,6.0,23.6,36.42
Diponegoro University,Indonesia,41.85,19.4,0.06,4.0,30.0,15.98
Missouri University of Science and Technology,United States of America,64.98,55.75,0.05,13.0,4.9,62.14
National Chung Hsing University,Taiwan,48.62,29.55,0.08,9.0,28.6,28.14
University of Crete,Greece,62.68,57.28,0.04,5.0,19.3,59.74
Tallinn University of Technology,Estonia,61.9,48.9,0.08,12.0,16.2,43.82
University of Portsmouth,United Kingdom,67.06,54.52,0.06,36.0,10.9,49.18
Southern Cross University,Australia,65.78,54.82,0.02,22.0,6.0,54.96
"University of Chemistry and Technology, Prague",Czechia,46.35,23.2,0.11,29.0,8.2,22.4
University of Fribourg,Switzerland,67.38,45.97,0.07,17.0,13.6,42.24
Inha University,Republic of Korea,56.82,31.58,0.06,8.0,17.5,30.02
Manchester Metropolitan University,United Kingdom,62.81,50.9,0.06,22.0,18.8,44.08
University of Manitoba,Canada,64.1,47.65,0.07,24.0,19.2,42.64
King Faisal University,Saudi Arabia,60.79,40.2,0.1,6.0,25.3,33.42
University of Brescia,Italy,67.84,64.12,0.04,5.0,7.3,68.3
De La Salle University,Philippines,34.72,19.52,0.05,2.0,32.7,16.98
Konkuk University,Republic of Korea,63.82,43.9,0.04,22.0,11.6,41.94
University of South Florida,United States of America,67.88,56.28,0.06,16.0,17.4,52.36
Bar-Ilan University,Israel,60.01,50.0,0.05,4.0,11.0,51.88
Memorial University of Newfoundland,Canada,64.34,52.05,0.07,29.0,10.7,50.38
COMSATS University Islamabad,Pakistan,61.18,56.8,0.06,1.0,17.0,52.8
Chang Gung University,Taiwan,57.65,42.3,0.08,5.0,9.3,45.48
Lehigh University,United States of America,61.8,41.47,0.09,16.0,7.2,40.6
East China University of Science and Technology,China (Mainland),60.88,54.6,0.05,2.0,9.1,60.18
Stevens Institute of Technology,United States of America,64.04,45.0,0.05,40.0,4.0,48.18
Beirut Arab University,Lebanon,57.51,25.2,0.1,21.0,20.0,21.68
Jadavpur University,India,48.91,40.18,0.05,0.0,23.2,43.3
University of Haifa,Israel,61.86,53.55,0.06,3.0,17.4,51.8
Nanjing University of Aeronautics and Astronautics,China (Mainland),59.69,54.05,0.06,2.0,6.3,59.18
Ritsumeikan University,Japan,38.51,22.68,0.06,10.0,25.7,19.14
University of Brawijaya,Indonesia,35.31,16.55,0.06,4.0,30.1,13.62
Comenius University Bratislava,Slovakia,45.08,32.48,0.1,17.0,16.8,27.36
Cyprus University of Technology,Cyprus,62.77,46.78,0.06,15.0,8.1,45.38
Baku State University,Azerbaijan,34.22,13.82,0.08,5.0,22.0,11.44
Tomsk Polytechnic University,Russian Federation,53.21,30.58,0.09,35.0,9.4,25.86
Université Côte d’Azur,France,60.46,48.3,0.05,21.0,21.6,44.18
Eastern Mediterranean University,Northern Cyprus,57.8,43.12,0.04,72.0,9.2,40.76
Universidade Federal do Rio Grande Do Sul,Brazil,57.04,43.25,0.07,1.0,36.8,37.74
Rensselaer Polytechnic Institute,United States of America,63.32,41.62,0.07,16.0,10.2,44.24
Beijing University of Chemical Technology,China (Mainland),64.77,58.53,0.05,1.0,6.1,63.12
University of Klagenfurt,Austria,60.49,35.1,0.11,33.0,7.2,31.36
Jeonbuk National University (formerly known as Chonbuk National University),Republic of Korea,55.16,32.82,0.05,10.0,19.9,30.54
Kasetsart University,Thailand,34.17,23.63,0.06,1.0,37.4,19.82
Nanjing University of Science and Technology,China (Mainland),60.69,55.58,0.07,2.0,7.0,61.68
Universidad Panamericana (UP),Mexico,29.06,9.43,0.13,2.0,15.9,7.88
University of Central Florida,United States of America,64.01,54.18,0.03,5.0,18.6,49.94
University of Zagreb,Croatia,45.78,40.28,0.06,4.0,23.2,33.84
Asia University Taiwan,Taiwan,63.33,65.45,0.03,3.0,9.0,68.34
Budapest University of Technology and Economics,Hungary,40.98,31.98,0.06,15.0,20.8,28.64
Drexel University,United States of America,64.97,50.82,0.08,15.0,8.9,48.04
"Goldsmiths, University of London",United Kingdom,61.42,33.6,0.07,48.0,18.3,30.28
ITMO University,Russian Federation,51.21,33.5,0.06,17.0,12.7,29.0
Toronto Metropolitan University (formerly Ryerson University),Canada,58.84,48.75,0.03,11.0,12.5,47.2
University of Nebraska - Lincoln,United States of America,62.04,53.15,0.06,7.0,14.3,50.06
Prince Sattam Bin Abdulaziz University,Saudi Arabia,64.17,55.7,0.09,6.0,6.4,48.48
Taras Shevchenko National University of Kyiv,Ukraine,32.76,19.82,0.09,5.0,21.9,16.64
Temple University,United States of America,64.7,47.95,0.09,6.0,16.8,43.28
University of Patras,Greece,51.66,48.52,0.04,6.0,16.8,47.68
UWE Bristol (University of the West of England),United Kingdom,57.1,46.38,0.06,29.0,10.6,42.14
Far Eastern Federal University,Russian Federation,35.61,21.35,0.06,21.0,13.9,17.6
National Institute of Technology Tiruchirappalli,India,51.35,50.95,0.05,2.0,4.1,58.66
Princess Nourah bint Abdulrahman University,Saudi Arabia,62.34,45.53,0.09,12.0,18.3,37.86
Texas Tech University,United States of America,56.53,42.3,0.05,8.0,14.5,37.6
Aberystwyth University,United Kingdom,57.79,42.82,0.07,21.0,12.8,39.04
Brandeis University,United States of America,63.34,36.45,0.09,34.0,12.8,34.16
Kaunas University of Technology,Lithuania,48.76,39.7,0.08,11.0,15.1,35.26
Plekhanov Russian University of Economics,Russian Federation,33.57,25.7,0.12,14.0,15.5,21.22
Syracuse University,United States of America,63.0,43.18,0.06,21.0,17.0,37.94
The Catholic University of Korea,Republic of Korea,59.1,33.8,0.05,15.0,7.9,33.24
University of Baghdad,Iraq,33.96,28.62,0.09,0.0,18.1,23.4
University of Malta,Malta,52.26,41.68,0.08,18.0,9.3,35.36
University of Messina,Italy,61.2,58.5,0.04,6.0,12.6,57.9
University of Pecs,Hungary,46.24,26.1,0.07,24.0,20.1,21.88
Victoria University,Australia,59.84,49.2,0.03,25.0,9.2,49.1
Vytautas Magnus University,Lithuania,39.79,29.4,0.09,19.0,14.0,24.52
University of Oregon,United States of America,62.68,46.2,0.07,5.0,23.2,42.02
University of Trieste,Italy,61.51,56.18,0.04,8.0,16.1,55.7
Al-Ahliyya Amman University,Jordan,62.72,37.95,0.07,64.0,17.1,31.64
Bangladesh University of Engineering and Technology,Bangladesh,49.1,33.6,0.09,0.0,21.3,33.04
"Government College University, Faisalabad",Pakistan,55.6,62.22,0.04,0.0,4.2,64.22
New Jersey Institute of Technology (NJIT),United States of America,59.26,41.7,0.07,29.0,7.5,41.48
Riga Technical University,Latvia,45.83,25.78,0.03,33.0,12.6,21.82
University of Belgrade,Serbia,48.25,45.7,0.06,5.0,23.6,38.58
University of Bucharest,Romania,48.32,40.78,0.03,2.0,21.1,34.28
University of Nizwa,Oman,61.36,35.33,0.11,11.0,11.0,30.86
Holy Spirit University of Kaslik,Lebanon,39.02,15.45,0.08,14.0,11.1,13.12
Rovira i Virgili University,Spain,56.07,54.45,0.08,12.0,9.5,53.16
Thapar Institute of Engineering & Technology,India,56.58,48.75,0.07,4.0,4.0,53.24
Alexandria University,Egypt,49.59,41.47,0.06,7.0,32.7,33.88
Carleton University,Canada,58.8,47.48,0.04,22.0,15.6,41.7
Georgia State University,United States of America,58.57,47.9,0.06,9.0,14.8,44.96
Kuwait University,Kuwait,42.51,31.43,0.05,13.0,20.9,26.24
University of Kentucky,United States of America,61.96,51.95,0.09,3.0,15.0,47.98
University of Mons,Belgium,57.24,46.53,0.04,17.0,7.0,47.86
V.N. Karazin Kharkiv National University,Ukraine,28.2,15.1,0.12,27.0,14.3,12.46
Wayne State University,United States of America,60.3,45.5,0.08,5.0,9.0,40.0
Chiba University,Japan,47.5,28.2,0.12,5.0,22.5,26.12
Norwegian University of Life Sciences (UMB),Norway,51.92,41.22,0.12,7.0,8.2,35.66
Universiti Tunku Abdul Rahman (UTAR),Malaysia,45.73,33.6,0.08,13.0,19.4,29.56
Wake Forest University,United States of America,61.88,38.6,0.29,10.0,7.4,33.26
AGH University of Krakow,Poland,45.53,37.42,0.1,4.0,13.1,32.48
Alfaisal University,Saudi Arabia,57.95,35.78,0.09,37.0,7.9,32.98
Azerbaijan State University of Economics,Azerbaijan,50.6,24.25,0.11,7.0,21.2,19.7
Bournemouth University,United Kingdom,60.6,54.18,0.05,24.0,8.0,49.22
De Montfort University,United Kingdom,54.15,40.18,0.05,47.0,6.4,35.48
Donghua University,China (Mainland),60.39,51.42,0.08,7.0,4.5,55.26
German Jordanian University,Jordan,48.48,26.22,0.1,15.0,14.6,23.52
Keele University,United Kingdom,58.48,48.25,0.06,20.0,8.5,44.3
Middlesex University,United Kingdom,57.53,41.4,0.05,49.0,7.5,35.98
Ocean University of China,China (Mainland),55.81,53.75,0.05,1.0,6.3,57.42
Qassim University,Saudi Arabia,52.83,37.85,0.11,11.0,15.5,31.04
Tokyo University of Science (RIKADAI),Japan,38.64,23.35,0.04,4.0,11.5,21.94
Universidade Federal de Santa Catarina,Brazil,47.6,35.85,0.07,3.0,26.1,31.84
Universidade Federal de São Paulo (UNIFESP),Brazil,50.28,32.85,0.08,1.0,14.1,28.36
Universiti Malaysia Terengganu (UMT),Malaysia,48.02,40.78,0.07,11.0,16.7,38.4
University of Brighton,United Kingdom,53.34,45.18,0.06,23.0,9.6,41.12
University of Engineering & Technology (UET) Lahore,Pakistan,41.52,34.1,0.07,2.0,11.1,30.3
University of Greenwich,United Kingdom,57.26,47.28,0.04,54.0,6.2,40.86
University of Hyderabad,India,47.88,37.92,0.08,1.0,17.7,41.24
University of Latvia,Latvia,46.11,37.65,0.03,9.0,14.5,32.2
University of Lincoln,United Kingdom,56.57,46.0,0.07,24.0,8.0,39.72
"University of Maryland, Baltimore County",United States of America,55.09,38.48,0.06,19.0,13.6,34.78
University of Modena and Reggio Emilia,Italy,59.15,52.6,0.05,4.0,12.3,53.42
University of Namur,Belgium,52.05,41.9,0.05,17.0,6.4,42.4
University of Ulsan,Republic of Korea,58.89,45.65,0.09,2.0,6.0,46.54
University of Westminster,United Kingdom,51.29,31.55,0.05,51.0,12.3,27.04
Altai State University,Russian Federation,28.28,13.42,0.05,27.0,12.9,11.12
Auburn University,United States of America,54.83,41.25,0.05,7.0,11.6,37.86
Australian Catholic University,Australia,59.87,44.2,0.03,20.0,12.0,39.24
Azerbaijan State Oil and Industry University,Azerbaijan,24.46,8.45,0.1,6.0,13.1,7.06
Azerbaijan Technical University,Azerbaijan,21.35,4.7,0.14,8.0,19.1,4.04
BINUS UNIVERSITY (Bina Nusantara University),Indonesia,36.37,19.1,0.07,4.0,20.1,16.14
Chungnam National University,Republic of Korea,44.57,32.6,0.05,3.0,11.7,30.28
Dhofar University,Oman,54.07,38.62,0.06,7.0,10.0,34.82
Edinburgh Napier University,United Kingdom,54.14,44.08,0.05,21.0,7.9,39.64
Instituto Politécnico Nacional (IPN),Mexico,23.1,19.35,0.08,0.0,26.6,16.1
Jiangnan University,China (Mainland),54.3,54.28,0.08,1.0,5.8,56.42
Liverpool John Moores University,United Kingdom,56.58,53.4,0.06,16.0,13.5,46.8
Louisiana State University,United States of America,52.78,42.15,0.05,4.0,14.1,38.48
Mendel University in Brno,Czechia,39.04,35.07,0.06,17.0,9.8,29.72
Multimedia University (MMU),Malaysia,43.72,24.02,0.08,17.0,18.9,21.06
Nantes University,France,53.93,51.42,0.06,12.0,14.8,47.26
O. P. Jindal Global University (JGU),India,42.78,23.48,0.13,1.0,15.9,19.42
Oklahoma State University,United States of America,54.04,43.68,0.07,5.0,10.6,39.2
Prince of Songkla University,Thailand,37.43,29.42,0.08,2.0,32.4,24.92
Tokyo University of Agriculture and Technology,Japan,41.92,34.05,0.07,7.0,15.6,35.3
Université du Québec,Canada,57.2,43.2,0.06,17.0,20.5,37.92
Universiti Pendidikan Sultan Idris (UPSI),Malaysia,54.8,26.12,0.11,28.0,17.0,22.0
University of Ghana,Ghana,45.63,43.25,0.02,1.0,17.8,36.76
University of Santo Tomas,Philippines,31.49,15.78,0.07,6.0,20.3,12.96
University of Seoul,Republic of Korea,44.64,30.42,0.07,7.0,17.6,27.64
Verona University,Italy,60.5,58.25,0.04,5.0,13.1,56.6
Vilnius Gediminas Technical University,Lithuania,34.11,26.8,0.08,21.0,13.8,24.56
Worcester Polytechnic Institute,United States of America,53.05,37.78,0.08,14.0,3.7,38.36
Yarmouk University,Jordan,53.08,34.4,0.04,15.0,23.4,28.56
Chonnam National University,Republic of Korea,47.95,32.45,0.08,8.0,12.2,30.76
Future University in Egypt,Egypt,49.08,36.22,0.11,11.0,7.1,30.04
Kanazawa University,Japan,41.45,28.35,0.1,6.0,13.2,27.1
Kansas State University,United States of America,49.88,41.88,0.07,5.0,9.1,39.82
Khon Kaen University,Thailand,38.43,31.25,0.06,2.0,26.6,26.76
London South Bank University,United Kingdom,51.45,36.2,0.06,40.0,4.9,30.66
Lovely Professional University (LPU),India,54.19,47.45,0.07,8.0,20.0,40.14
Nagasaki University,Japan,36.59,28.0,0.15,5.0,9.0,24.84
Osaka Metropolitan University,Japan,34.26,23.02,0.11,4.0,18.1,20.88
Panjab University,India,52.56,41.82,0.06,2.0,9.4,42.16
Saveetha Institute of Medical And Technical Sciences (SIMATS),India,59.31,53.78,0.1,6.0,8.9,47.08
Taif University,Saudi Arabia,49.86,51.2,0.06,3.0,7.0,47.0
Tallinn University,Estonia,43.64,34.33,0.13,11.0,11.1,29.44
Tashkent State Technical University,Uzbekistan,42.81,23.98,0.07,1.0,30.6,19.6
University of Alaska Fairbanks,United States of America,53.06,36.15,0.12,6.0,3.4,32.9
University of Hertfordshire,United Kingdom,51.38,39.88,0.05,61.0,5.8,34.32
University of Maribor,Slovenia,35.88,34.83,0.07,14.0,10.8,30.4
University of Peshawar,Pakistan,42.14,33.1,0.03,0.0,9.4,28.94
University of Salford,United Kingdom,48.27,38.33,0.05,30.0,10.8,33.06
University of South Africa,South Africa,38.48,43.25,0.01,2.0,13.8,36.94
Virginia Commonwealth University,United States of America,57.4,48.28,0.1,4.0,9.5,42.62
Yeungnam University,Republic of Korea,54.24,48.1,0.06,6.0,5.1,47.98
Al Nahrain University,Iraq,25.03,14.25,0.21,0.0,8.2,12.14
Al-Quds University,Palestine,24.57,11.65,0.09,33.0,10.1,9.88
Athens University of Economics And Business,Greece,38.28,29.15,0.02,5.0,10.1,29.7
Charles Sturt University,Australia,48.24,41.7,0.05,11.0,6.4,36.14
Clarkson University,United States of America,40.33,33.32,0.08,13.0,1.0,36.12
CY Cergy Paris University,France,41.32,28.48,0.06,27.0,5.2,24.26
George Mason University,United States of America,55.98,48.42,0.06,13.0,12.0,42.34
Guru Gobind Singh Indraprastha University,India,46.58,40.5,0.07,4.0,5.8,42.1
Hasanuddin University,Indonesia,23.72,15.3,0.07,1.0,23.5,12.58
Immanuel Kant Baltic Federal University,Russian Federation,34.69,20.0,0.06,19.0,7.7,16.62
Ivane Javakhishvili Tbilisi State University,Georgia,18.91,13.55,0.03,5.0,11.9,11.12
Kumamoto University,Japan,41.05,28.98,0.11,6.0,9.2,27.46
Nanjing Normal University,China (Mainland),46.76,46.72,0.07,2.0,6.4,45.94
National Chung Cheng University,Taiwan,31.81,22.9,0.07,4.0,18.9,20.22
North South University,Bangladesh,44.46,32.1,0.05,0.0,16.9,27.0
North-West University,South Africa,45.4,50.53,0.04,2.0,8.4,45.4
Okayama University,Japan,42.48,29.68,0.1,9.0,11.5,26.68
Rochester Institute of Technology (RIT),United States of America,47.87,35.2,0.06,13.0,10.0,30.46
Saint Louis University,United States of America,54.5,34.62,0.13,11.0,5.7,32.46
Sophia University,Japan,21.62,9.15,0.08,12.0,18.7,7.82
Universidad Nacional Mayor de San Marcos,Peru,18.68,14.75,0.08,1.0,28.9,12.14
University of Bahrain,Bahrain,38.79,29.92,0.04,6.0,14.3,24.94
University of Lahore,Pakistan,47.85,44.92,0.07,4.0,17.8,37.64
University of the Western Cape,South Africa,48.74,50.35,0.03,4.0,12.0,45.06
Al Azhar University,Egypt,41.96,36.8,0.05,11.0,21.5,29.84
Alexandru Ioan Cuza University,Romania,24.31,24.08,0.06,9.0,11.7,20.42
An-Najah National University,Palestine,43.25,30.8,0.04,12.0,13.5,25.5
"Arab Academy for Science, Technology and Maritime Transport",Egypt,40.81,23.57,0.09,14.0,7.5,19.34
Assiut University,Egypt,34.35,32.8,0.08,5.0,16.3,27.04
Banaras Hindu University,India,50.37,40.97,0.13,4.0,18.9,36.54
Baylor University,United States of America,45.71,33.18,0.07,6.0,8.7,29.1
Birmingham City University,United Kingdom,42.37,32.48,0.05,31.0,8.2,27.28
Chung Yuan Christian University,Taiwan,32.88,25.78,0.03,8.0,9.9,25.66
Chungbuk National University,Republic of Korea,41.2,30.17,0.08,11.0,6.5,28.06
Clark University,United States of America,44.01,32.28,0.08,29.0,2.5,30.52
Daffodil International University,Bangladesh,43.99,36.67,0.05,5.0,15.6,30.72
Dankook University,Republic of Korea,24.19,16.1,0.06,5.0,10.0,13.84
Financial University under the Government of the Russian Federation,Russian Federation,36.71,25.98,0.07,13.0,4.9,21.32
Georgian Technical University,Georgia,19.98,21.42,0.07,3.0,7.1,28.02
Gifu University,Japan,32.83,22.9,0.07,4.0,6.4,21.18
Glasgow Caledonian University,United Kingdom,43.27,32.6,0.04,30.0,7.2,28.32
Hallym University,Republic of Korea,33.73,20.45,0.12,4.0,3.4,18.98
Harbin Engineering University,China (Mainland),46.22,42.8,0.06,2.0,5.2,43.6
Kangwon National University,Republic of Korea,33.29,26.38,0.05,3.0,8.0,24.18
Kookmin University,Republic of Korea,30.74,15.88,0.05,13.0,5.3,13.76
Kyushu Institute of Technology,Japan,30.07,26.62,0.06,4.0,5.0,28.8
Leeds Beckett University,United Kingdom,45.37,33.8,0.06,23.0,5.1,29.74
Lobachevsky State University of Nizhni Novgorod,Russian Federation,22.26,12.3,0.1,13.0,10.0,10.54
Lodz University of Technology,Poland,27.7,27.38,0.09,6.0,6.0,25.1
London Metropolitan University,United Kingdom,46.98,30.1,0.04,64.0,5.9,25.48
Makerere University,Uganda,43.04,38.15,0.05,4.0,13.4,31.82
Mansoura University,Egypt,43.76,42.05,0.05,14.0,18.8,34.64
Mississippi State University,United States of America,47.33,47.42,0.07,4.0,7.2,44.64
Mustansiriyah University,Iraq,20.71,12.65,0.12,1.0,8.3,10.48
Mutah University,Jordan,31.13,21.08,0.05,13.0,15.6,17.54
"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,18.23,10.95,0.12,13.0,7.6,9.12
Niigata University,Japan,34.26,21.6,0.14,3.0,6.6,18.62
Northwest University (China),China (Mainland),37.47,34.52,0.08,3.0,5.8,33.98
Obuda University,Hungary,47.67,41.95,0.04,7.0,7.9,37.48
Ohio University,United States of America,45.81,36.58,0.05,4.0,10.9,32.06
Pontificia Universidad Catolica del Ecuador,Ecuador,18.39,16.97,0.05,2.0,24.4,13.96
Poznan University of Technology,Poland,28.57,27.32,0.09,8.0,10.9,24.42
San Diego State University,United States of America,37.14,40.85,0.04,4.0,7.9,37.24
Seoul National University of Science and Technology,Republic of Korea,34.42,26.08,0.08,13.0,10.5,24.64
Sheffield Hallam University,United Kingdom,41.82,36.82,0.05,23.0,9.8,30.88
Siberian Federal University,Russian Federation,41.59,27.28,0.05,13.0,7.8,23.4
Slovak University of Technology in Bratislava,Slovakia,26.73,25.28,0.08,19.0,10.8,21.76
Soonchunhyang University,Republic of Korea,34.61,21.65,0.05,6.0,7.7,19.34
Southern Federal University,Russian Federation,25.41,22.0,0.08,15.0,7.0,18.3
SRM Institute of Science and Technology (f.k.a SRM University),India,40.12,41.18,0.08,2.0,14.1,34.66
Sumy State University,Ukraine,36.94,28.3,0.08,7.0,6.3,23.68
Széchenyi István University,Hungary,21.96,15.08,0.06,6.0,12.2,12.64
Technical University of Kosice,Slovakia,28.55,23.5,0.06,41.0,8.2,20.86
Telkom University (aka Telkom Institute of Technology),Indonesia,24.84,15.88,0.07,10.0,13.6,13.2
The Hashemite University,Jordan,37.49,32.17,0.04,13.0,15.6,27.3
Tokyo Metropolitan University,Japan,29.29,25.08,0.09,5.0,17.5,23.02
Universidad del Valle,Colombia,18.41,12.6,0.12,1.0,24.1,10.64
Universidad Peruana Cayetano Heredia,Peru,39.45,26.2,0.07,1.0,15.2,21.68
Universidad Pontificia Bolivariana,Colombia,19.31,11.2,0.09,3.0,10.7,9.52
Universidad Rey Juan Carlos,Spain,32.49,34.35,0.06,6.0,12.5,29.36
Universidade Federal do Paraná (UFPR),Brazil,33.8,28.35,0.08,8.0,19.4,24.64
Universitas Sumatera Utara,Indonesia,20.97,17.32,0.06,2.0,14.4,14.22
Université de Bretagne Occidentale (UBO),France,41.8,44.82,0.04,12.0,6.2,40.9
Universiti Malaysia Perlis (UniMAP),Malaysia,27.42,27.42,0.08,3.0,10.7,24.68
Universiti Malaysia Sarawak (UNIMAS),Malaysia,36.82,23.62,0.06,14.0,20.1,20.26
University of Anbar,Iraq,34.4,23.3,0.09,1.0,25.3,19.24
University of Colombo,Sri Lanka,41.08,26.4,0.03,1.0,15.1,22.34
University of Denver,United States of America,50.3,33.38,0.08,5.0,7.8,29.24
University of Deusto,Spain,36.36,28.33,0.05,11.0,8.9,25.52
University of East London,United Kingdom,39.52,27.2,0.03,57.0,3.9,23.66
University of Hradec Kralove,Czechia,41.06,35.05,0.08,3.0,5.8,30.7
University of Ibadan,Nigeria,42.6,37.8,0.06,0.0,11.6,31.7
University of Ioannina,Greece,33.55,38.47,0.03,3.0,9.4,37.18
University of Karachi,Pakistan,21.91,24.67,0.03,0.0,14.5,21.82
University of Lagos,Nigeria,41.89,34.48,0.04,0.0,9.4,28.62
"University of Missouri, Kansas City",United States of America,51.13,37.92,0.08,13.0,5.1,35.48
University of Murcia,Spain,40.23,41.85,0.07,5.0,15.3,36.46
University of Nairobi,Kenya,27.95,26.78,0.04,2.0,12.8,21.94
University of North Carolina at Charlotte,United States of America,49.54,46.68,0.05,8.0,6.7,41.26
